#ARTIST:Aimer
#TITLE:Zankyou Sanka
#CREATOR:DeinAlptraum
#BPM:342,2
#YEAR:2021
#PREVIEWSTART:47
#VIDEO:v=tLQLa6lM3Us
#LANGUAGE:Japanese
#GAP:8721,817650496785
#ALLKARAOKE_ID:aimer-zankyou-sanka
#ALLKARAOKE_SID:5910
#ALLKARAOKE_LASTUPDATE:2026-06-24T04:49:48.319Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:171
#ALLKARAOKE_PREVIEWEND:74
#ALLKARAOKE_VOLUME:1
#ALLKARAOKE_DURATION:182
#MP3:Aimer - Zankyou Sanka.mp3
#COVER:Aimer - Zankyou Sanka [CO].jpg
#BACKGROUND:Aimer - Zankyou Sanka [BG].jpg
: 1027 3 3 de
: 1031 8 3 ta
- 1039
: 1047 7 8 An
: 1055 3 6 na 
: 1059 3 3 ni 
: 1063 7 8 too
: 1071 3 6 ku 
: 1075 3 3 no 
: 1079 7 8 ke
: 1087 3 6 shiki 
: 1091 3 3 ma
: 1095 8 1 de 
: 1107 3 -1 hi
: 1111 7 -1 bi
: 1119 7 1 ki
: 1127 7 3 wa
: 1135 7 11 ta
: 1143 8 10 re
- 1151
: 1159 3 11 Na
: 1163 3 10 ni 
: 1167 3 8 wo 
: 1171 3 6 ka
: 1175 3 8 na
: 1179 3 8 de
: 1183 7 15 te? 
: 1191 3 11 da
: 1195 3 10 re 
: 1199 3 8 ni 
: 1203 3 6 to
: 1207 3 8 do
: 1211 3 8 ke
: 1215 7 15 taku
: 1223 8 8 te?
- 1231
: 1235 3 6 Fu
: 1239 7 6 ta
: 1247 3 1 shika 
: 1251 11 1 na 
: 1263 7 6 ma
: 1271 11 4 ma 
: 1283 3 3 de 
: 1287 12 3 ii
- 1299
: 1303 7 8 Don
: 1311 3 6 na 
: 1315 3 3 ni 
: 1319 7 8 ku
: 1327 3 6 ra
: 1331 3 3 i 
: 1335 7 8 kan
: 1343 3 6 jo
: 1347 3 3 u 
: 1351 8 1 mo 
: 1367 7 8 don
: 1375 3 6 na 
: 1379 3 3 ni 
: 1383 7 8 na
: 1391 3 6 ga
: 1395 3 3 i 
: 1399 7 8 ka
: 1407 7 11 ttou 
: 1415 8 13 mo
- 1423
: 1431 7 -1 U
: 1439 7 1 ta 
: 1447 7 3 to 
: 1455 7 11 chi
: 1463 8 10 re 
* 1479 7 6 zan
* 1487 4 8 kyou
- 1491
F 1495 11 3 Da 
F 1507 7 1 da
F 1515 7 6 ra 
F 1523 7 4 da
F 1531 7 3 ra 
F 1539 7 1 da 
F 1547 8 -1 da
- 1555
F 1559 3 3 Da
F 1563 7 -1 ra 
F 1571 7 1 da 
F 1579 8 -4 da, 
F 1591 3 3 da
F 1595 7 -1 ra 
F 1603 7 1 da 
F 1611 8 -4 da
- 1619
F 1623 11 3 Da 
F 1635 7 1 da
F 1643 7 6 ra 
F 1651 7 4 da
F 1659 7 3 ra 
F 1667 7 1 da 
F 1675 8 -1 da
- 1683
F 1687 3 3 Da
F 1691 7 -1 ra 
F 1699 7 1 da 
F 1707 7 -4 da, 
F 1715 7 -6 da
F 1723 7 -4 ra 
F 1731 7 -1 da 
F 1739 11 -2 da 
F 1751 4 -4 ra
- 1755
: 1759 7 8 Ta
: 1767 3 3 da 
: 1771 3 1 hi
: 1775 3 1 to
: 1779 3 -1 ri 
: 1783 7 -1 mau 
: 1791 7 1 sen
: 1799 8 -4 ya
- 1807
: 1823 7 8 Ta
: 1831 3 3 ga
: 1835 3 1 e
: 1839 3 1 na
: 1843 3 -1 i 
: 1847 7 -1 tai 
: 1855 3 3 wo 
: 1859 3 1 mu
: 1863 3 -2 su
: 1867 3 -2 be
: 1871 8 3 ba
- 1879
: 1883 3 8 Ha
: 1887 3 10 de 
: 1891 3 8 na 
: 1895 3 10 i
: 1899 3 10 ro 
: 1903 3 10 mo 
: 1907 3 8 ma
: 1911 7 10 kasu 
: 1919 7 11 you 
: 1927 7 8 ni 
: 1935 7 15 shi
: 1943 7 13 n
: 1951 7 15 ku 
: 1959 7 13 no 
: 1967 3 8 ka 
: 1971 3 8 ko
: 1975 7 11 so 
* 1983 3 10 a
* 1987 3 8 wa
* 1991 8 7 re
- 1999
: 2007 3 -1 Ko
: 2011 3 1 no 
: 2015 3 3 sa
: 2019 3 3 ki 
: 2023 7 6 don
: 2031 3 3 na 
: 2035 3 1 tsu
: 2039 3 1 ra
: 2043 3 1 i 
: 2047 7 3 toki 
: 2055 8 -1 mo
- 2063
: 2071 3 -1 Ku
: 2075 3 -1 chi
: 2079 3 3 sa
: 2083 3 3 ki 
: 2087 3 6 yo
: 2091 3 6 ri 
: 2095 3 1 mo 
: 2099 3 1 mu
: 2103 3 1 ne 
: 2107 3 0 wo 
: 2111 7 6 ha
: 2119 8 3 tte
- 2127
: 2135 3 -1 I
: 2139 3 8 da
: 2143 3 6 i
: 2147 3 3 ta 
: 2151 7 8 yu
: 2159 3 6 me 
: 2163 3 3 no 
: 2167 3 3 a
: 2171 3 8 ka
: 2175 3 7 ri 
: 2179 3 3 wo 
: 2183 7 1 zen
: 2191 7 -1 bu 
: 2199 8 2 ta
: 2211 3 4 do
: 2215 8 2 ru 
: 2227 3 4 da
: 2231 8 3 ke
- 2239
: 2243 3 -4 Ni
: 2247 7 -4 ge
: 2255 7 -2 da
: 2263 7 -1 su 
: 2271 7 1 ta
: 2279 7 3 me 
: 2287 7 4 ko
: 2295 7 6 ko 
: 2303 7 -1 ma
: 2311 7 -1 de 
: 2319 7 1 ki
: 2327 16 1 ta
: 2351 3 4 n 
: 2355 12 3 ja
: 2371 11 3 nai 
: 2383 7 7 da
* 2391 60 8 ro?
- 2451 2732
- 2732
: 2755 3 -4 E
: 2759 7 -4 ra
: 2767 7 -2 ba
: 2775 7 -1 re
: 2783 7 1 na
: 2791 7 3 ke
: 2799 7 4 re
: 2807 7 6 ba 
: 2815 7 -1 e
: 2823 7 -1 ra
: 2831 7 1 be
: 2839 16 1 ba 
* 2863 7 4 i
* 2871 28 3 i
- 2899 3024
- 3024
: 3047 3 11 Ko
: 3051 3 10 e 
: 3055 3 8 wo 
: 3059 3 6 ka
: 3063 7 8 ra
: 3071 7 15 shite 
: 3079 3 11 mo
: 3083 3 10 e
: 3087 3 8 ru 
: 3091 3 6 ha
: 3095 3 8 na 
: 3099 3 8 no 
: 3103 7 15 you 
: 3111 8 8 ni
- 3119
: 3127 3 6 Ya
: 3131 7 6 mi
: 3139 3 1 ma 
: 3143 7 1 wo 
: 3151 7 6 te
: 3159 11 4 ra
: 3171 3 3 shita
: 3175 12 3 ra
- 3187
: 3191 7 8 Ai
: 3199 3 6 ma
: 3203 3 3 i 
: 3207 7 8 su
: 3215 3 6 gi
: 3219 3 3 ru 
: 3223 7 8 sei
: 3231 3 6 ka
: 3235 3 3 i 
: 3239 8 1 mo 
: 3255 7 -1 fu
: 3263 7 1 men 
: 3271 7 3 ni 
: 3279 7 11 shi
: 3287 12 10 te
- 3299
: 3303 3 11 Yo
: 3307 3 10 ru 
: 3311 3 8 wo 
: 3315 3 6 ka
: 3319 3 8 zo
: 3323 3 8 e
: 3327 7 15 te 
: 3335 3 11 a
: 3339 3 10 sa 
: 3343 3 8 wo 
: 3347 3 6 e
: 3351 7 8 gaku 
: 3359 7 15 you 
: 3367 8 8 na
- 3375
: 3379 3 6 A
: 3383 7 6 za
: 3391 3 6 ya
: 3395 3 1 ka 
: 3399 7 1 na 
: 3407 7 6 ne 
: 3415 11 4 wo 
: 3427 3 3 na
: 3431 12 3 rasu
- 3443
: 3447 7 8 Don
: 3455 3 6 na 
: 3459 3 3 ni 
: 3463 7 8 fu
: 3471 3 6 ka
: 3475 3 3 i 
: 3479 7 8 kou
: 3487 3 6 ka
: 3491 3 3 i 
: 3495 12 1 mo 
: 3511 7 8 don
: 3519 3 6 na 
: 3523 3 3 ni 
: 3527 7 8 ta
: 3535 3 6 ka
: 3539 3 3 i 
: 3543 7 8 gen
: 3551 7 11 kai 
: 3559 12 13 mo
- 3571
: 3575 7 -1 Ka
: 3583 7 1 ki
: 3591 7 3 ke
: 3599 7 11 shi
: 3607 12 10 te 
* 3623 7 6 zan
* 3631 4 8 kyou
- 3635
F 3639 11 3 Da 
F 3651 7 1 da
F 3659 7 6 ra 
F 3667 7 4 da
F 3675 7 3 ra 
F 3683 7 1 da 
F 3691 8 -1 da
- 3699
F 3703 3 3 Da
F 3707 7 -1 ra 
F 3715 7 1 da 
F 3723 8 -4 da, 
F 3735 3 3 da
F 3739 7 -1 ra 
F 3747 7 1 da 
F 3755 8 -4 da
- 3763
F 3767 11 3 Da 
F 3779 7 1 da
F 3787 7 6 ra 
F 3795 7 4 da
F 3803 7 3 ra 
F 3811 7 1 da 
F 3819 8 -1 da
- 3827
F 3831 3 3 Da
F 3835 7 -1 ra 
F 3843 7 1 da 
F 3851 7 -4 da, 
F 3859 7 -6 da
F 3867 7 -4 ra 
F 3875 7 -1 da 
F 3883 11 -2 da 
F 3895 8 -4 ra
E
