#ARTIST:Alligatoah
#TITLE:Trauerfeier Lied
#CREATOR:Webi
#BPM:326,95
#YEAR:2013
#PREVIEWSTART:75
#VIDEO:v=Hpqu36djb3k
#GENRE:Rap
#LANGUAGE:German
#GAP:11174,671356476525
#ALLKARAOKE_ID:alligatoah-trauerfeier-lied
#ALLKARAOKE_LASTUPDATE:2024-06-19T00:10:35.291Z
#ALLKARAOKE_ARTISTORIGIN:DE
#ALLKARAOKE_REALBPM:79
#ALLKARAOKE_PREVIEWEND:120
#ALLKARAOKE_VOLUME:0,8
#MP3:Alligatoah - Trauerfeier Lied.mp3
#COVER:Alligatoah - Trauerfeier Lied [CO].jpg
#BACKGROUND:Alligatoah - Trauerfeier Lied [BG].jpg
: 881 2 4 in 
: 883 8 4 kraft
: 891 2 4 be
: 893 4 4 pack
: 897 3 4 ter 
: 902 7 4 Pracht 
: 910 2 3 be
: 912 7 3 trach
: 919 3 3 ten
- 922
: 923 4 1 Ich 
: 927 4 1 hab' 
: 931 4 1 auch 
: 936 11 1 T-Shirts 
: 947 2 11 und 
: 949 6 6 Kaf
: 955 4 6 fee
: 959 4 6 tas
: 963 2 6 sen 
: 966 4 1 ma
: 970 4 1 chen 
: 975 4 1 las
: 979 4 1 sen
- 983
: 989 8 8 Acht
: 997 3 8 zig 
: 1000 5 4 Ta
: 1005 5 4 cken, 
: 1010 2 4 die 
: 1012 2 4 Be
: 1014 6 4 stat
: 1020 5 4 tungs
: 1025 4 4 kas
: 1029 2 4 se 
: 1032 5 3 schluckt
- 1037
: 1037 3 3 Wer 
: 1040 7 3 keins 
: 1047 3 9 mehr 
: 1050 3 1 kriegt, 
: 1055 4 1 kann 
: 1059 3 1 auch 
: 1062 3 1 wahr
: 1065 5 1 schein
: 1070 4 1 lich 
: 1076 3 1 Bil
: 1079 2 1 der 
: 1082 4 1 mei
: 1086 3 1 ner 
: 1089 7 3 straf
: 1096 3 3 fen 
: 1099 6 4 Brust
- 1105
: 1106 3 3 Auf 
: 1109 1 3 al
: 1110 3 3 len 
: 1113 3 6 pri
: 1116 2 6 va
: 1118 3 6 ten 
: 1121 3 9 und 
: 1125 3 11 off'
: 1128 2 11 nen 
: 1130 2 11 Ka
: 1132 2 11 nä
: 1134 3 11 len, 
: 1137 3 6 in 
: 1140 5 9 Blogs 
: 1145 1 8 und 
: 1146 3 4 in 
: 1149 3 8 jeg
: 1152 2 8 li
: 1154 3 8 chem 
: 1157 2 1 Wo
: 1159 3 1 chen
: 1162 3 1 blatt 
: 1165 5 6 seh'n
- 1170
: 1170 3 4 Ich 
: 1173 2 4 ge
: 1175 3 4 he 
: 1178 3 3 ma' 
: 1182 4 9 da
: 1186 4 9 von 
: 1190 4 1 aus, 
: 1194 3 1 dass 
: 1197 6 9 das 
: 1203 3 4 ge
: 1206 5 4 klappt 
: 1211 3 1 hat 
: 1214 5 8 mit 
: 1219 2 1 mei
: 1221 1 1 ner 
: 1222 3 6 Mo
: 1225 3 6 del
: 1228 3 6 kar
: 1231 4 6 rie
: 1235 3 6 re
- 1238
: 1239 5 8 Trotz
: 1244 3 8 dem 
: 1248 4 1 dan
: 1252 3 1 ke 
: 1258 3 11 für 
: 1261 4 1 das 
: 1265 4 1 zahl
: 1269 4 1 rei
: 1273 3 1 che 
: 1276 4 3 Er
: 1280 6 3 schei
: 1286 4 3 nen, 
: 1290 4 1 aber 
: 1295 4 11 ja 
: 1299 4 4 nicht 
: 1303 7 4 strei
: 1310 4 4 ten
- 1314
: 1315 3 11 Et
: 1318 3 11 was 
: 1322 5 3 War
: 1327 3 3 te
: 1330 5 3 zeit 
: 1336 4 9 und 
: 1340 3 1 je
: 1343 3 1 der 
: 1346 6 9 darf 
: 1352 6 4 sich 
: 1358 3 11 vor 
: 1362 2 11 dem 
: 1364 6 11 Sarg 
: 1370 4 11 ver
: 1374 7 11 nei
: 1381 4 11 gen 
: 1389 24 6 (Pscht)
- 1413
: 1420 6 8 Ihr 
: 1427 11 6 schafft 
: 1439 6 4 den 
: 1445 16 4 Rest 
* 1462 10 11 al
* 1472 13 11 lein
- 1485
: 1486 5 11 Wem 
: 1492 3 11 ist 
: 1495 4 11 heu
: 1499 3 11 te 
: 1502 5 11 kei
: 1507 2 11 ne 
: 1509 7 9 Trä
: 1516 2 9 ne 
: 1518 4 1 in 
: 1523 2 1 die 
: 1525 6 1 Hän
: 1531 3 1 de 
: 1534 4 9 ge
: 1538 6 9 flos
: 1544 4 9 sen?
- 1548
: 1551 7 8 Ihr 
: 1560 7 6 schafft 
: 1567 9 4 den 
: 1576 16 4 Rest 
* 1592 11 11 al
* 1603 19 11 lein
- 1622
: 1623 3 11 Der 
: 1626 4 11 ist 
: 1630 3 11 ein 
: 1633 6 11 schlech
: 1639 3 11 ter 
: 1642 5 1 Mensch 
: 1648 2 1 und 
: 1650 4 1 wird 
: 1654 5 1 von 
: 1659 4 1 En
: 1663 3 1 geln 
: 1666 4 11 er
: 1670 6 11 schos
: 1676 3 11 sen
- 1679
: 1682 7 8 Ihr 
: 1689 11 6 schafft 
: 1700 6 3 den 
: 1707 18 4 Rest 
* 1726 11 11 al
* 1737 27 11 lein
- 1764
: 1766 5 11 Doch 
: 1771 3 9 es 
: 1774 6 1 wird 
: 1780 5 1 al
: 1785 5 1 les 
: 1790 5 1 wie
: 1795 5 1 der 
: 1800 11 11 gut
- 1811
: 1814 7 8 Ihr 
: 1822 9 6 schafft 
: 1831 8 4 den 
: 1840 15 4 Rest 
* 1855 14 11 al
* 1869 28 11 lein
- 1897
: 1898 4 11 Denn 
: 1902 4 11 ihr 
: 1906 6 8 hört 
: 1914 4 1 die
: 1918 4 1 ses 
: 1922 8 1 Lied 
: 1930 3 11 im 
: 1933 10 11 Loop
- 1943
: 1943 3 6 Und 
: 1946 3 6 mei
: 1949 3 6 ne 
: 1953 9 8 letz
: 1962 3 8 ten 
: 1966 11 6 Wor
: 1977 9 6 te, 
: 1994 5 11 be
: 1999 13 11 vor 
: 2014 5 8 ich 
: 2020 7 8 zu 
: 2028 5 4 den 
: 2034 15 6 Ster
: 2049 7 6 nen 
: 2057 33 8 schweb'
- 2090
: 2101 17 6 Gern 
: 2119 4 4 ge
: 2123 22 4 scheh'n
- 2145 2184
- 2184
: 2206 5 4 Hört 
: 2211 3 4 ihr 
: 2214 4 4 den 
: 2218 9 4 Wind 
: 2228 3 4 in 
: 2231 4 4 den 
: 2236 6 4 Bäu
: 2242 7 4 men 
: 2250 5 4 sin
: 2255 5 4 gen? 
: 2264 4 1 Ich 
: 2268 3 1 wer
: 2271 3 1 de 
: 2274 5 3 euch 
: 2279 4 4 den 
: 2283 7 3 Weg 
: 2290 7 3 wei
: 2297 4 3 sen
- 2301
: 2305 4 1 Ich 
: 2309 3 1 bin 
: 2312 3 8 hier 
: 2316 7 4 oben, 
: 2323 6 4 über 
: 2329 9 6 euch 
: 2338 2 6 wie 
: 2340 5 11 schon 
: 2345 4 3 zu 
: 2349 7 3 Leb
: 2356 5 3 zei
: 2361 5 3 ten
- 2366
: 2368 3 1 Dir, 
: 2374 5 3 hol
: 2379 3 3 de 
: 2382 5 3 Maid, 
: 2388 3 4 bin 
: 2391 3 1 ich 
: 2395 3 4 ein 
: 2398 7 4 Schutz
: 2405 3 4 en
: 2408 4 4 gel 
: 2412 3 3 im 
: 2415 5 4 Wol
: 2420 3 4 ken
: 2423 9 4 reich
- 2432
: 2433 4 1 Wenn 
: 2437 2 1 du 
: 2439 4 1 je
: 2443 5 1 mand 
: 2448 4 1 an
: 2452 3 1 dern 
: 2455 8 1 fickst, 
: 2463 3 6 dann 
: 2466 3 1 werd' 
: 2469 5 6 ich 
: 2474 5 3 eher 
: 2479 7 3 Pol
: 2486 4 3 ter
: 2490 11 3 geist
- 2501
: 2515 5 11 Jungs, 
: 2520 3 4 ich 
: 2523 4 1 werd' 
: 2527 4 1 euch 
: 2531 6 1 auch 
: 2537 10 4 fehl'n, 
: 2547 9 3 oder?
- 2556
: 2564 5 1 Denkt 
: 2569 3 1 dar
: 2572 3 1 an, 
: 2575 5 1 dass 
: 2580 3 1 ich 
: 2583 3 1 euch 
: 2586 7 4 stets 
: 2593 4 11 mein 
: 2599 5 3 Haus
: 2604 4 3 te
: 2608 3 3 le
: 2611 9 3 fon 
: 2620 9 6 gab
- 2629
: 2631 3 4 So 
: 2634 4 4 viel 
: 2639 4 4 gu
: 2643 3 4 te 
: 2646 4 4 Ta
: 2650 5 4 ten, 
: 2655 3 4 Al
: 2658 3 4 ter, 
: 2662 3 4 so
: 2665 3 4 gar 
: 2669 6 4 schon 
: 2676 2 4 der 
: 2678 4 4 Bä
: 2682 3 4 cker 
: 2686 4 4 im 
: 2691 10 4 Dorf
- 2701
: 2702 5 4 Mein
: 2707 3 4 te, 
: 2711 4 4 wenn 
: 2715 3 1 ich 
: 2719 4 4 weg 
: 2724 4 4 bin, 
: 2728 4 3 ist 
: 2732 3 4 die 
: 2736 4 4 Welt 
: 2740 4 4 ein 
: 2744 5 4 bes
: 2749 2 4 se
: 2751 4 4 rer 
: 2757 8 4 Ort
- 2765
: 2766 2 4 Ihr 
: 2768 7 4 schafft 
: 2775 3 4 den 
: 2778 6 4 Rest 
: 2784 4 4 al
: 2788 6 4 lein, 
: 2803 2 1 al
: 2805 2 1 so 
: 2808 2 4 die 
: 2811 6 4 Drecks
: 2817 4 4 ar
: 2821 8 4 beit
- 2829
: 2831 4 9 So'n 
: 2835 4 1 Mau
: 2839 4 1 so
: 2843 4 1 le
: 2847 3 1 um 
: 2851 6 1 bleibt 
: 2857 3 1 nicht 
: 2861 4 3 von 
: 2865 3 3 al
: 2868 3 3 lei
: 2871 3 3 ne 
: 2875 4 3 fle
: 2879 4 3 cken
: 2883 7 3 frei
- 2890
: 2890 4 6 Und 
: 2894 8 4 rächt 
: 2903 3 6 mei
: 2906 3 6 nen 
: 2909 5 4 Mord, 
: 2914 3 4 doch 
: 2918 4 4 schafft 
: 2923 3 4 euch 
: 2926 4 1 Heim
: 2930 6 1 vor
: 2936 9 1 teil
- 2945
: 2956 2 3 Wenn 
: 2958 1 1 er 
: 2959 4 1 mich 
: 2963 3 1 be
: 2966 7 1 siegt 
: 2975 4 1 hat, 
: 2979 5 11 muss 
: 2984 2 6 er 
: 2987 3 1 ein 
: 2991 6 11 Cy
: 2997 5 11 borg 
: 3003 7 3 sein
- 3010
: 3012 3 3 Hab' 
: 3017 3 4 mitt
: 3020 3 4 ler
: 3023 6 4 wei
: 3029 2 4 le 
: 3033 3 4 mir 
: 3036 2 4 be
: 3038 9 4 stimmt 
: 3048 2 9 'ne 
: 3051 3 4 Re
: 3054 4 4 li
: 3058 3 4 gi
: 3061 4 4 on 
: 3066 5 4 zu
: 3071 2 4 ge
: 3073 7 4 legt
- 3080
: 3081 2 4 Um 
: 3083 5 4 so 
: 3089 6 4 gut 
: 3095 3 9 es 
: 3098 6 4 geht 
: 3104 3 1 der 
: 3107 7 4 Angst 
: 3115 3 3 vor 
: 3119 2 4 dem 
: 3122 8 4 Tod 
: 3130 4 4 sou
: 3134 4 4 ve
: 3138 7 4 rän 
: 3147 4 1 zu 
: 3151 5 6 ent
: 3156 8 6 geh'n
- 3164
: 3165 4 1 Hab' 
: 3170 3 9 nie 
: 3173 5 1 groß
: 3178 7 1 spu
: 3185 4 1 rig 
: 3190 6 1 Hoch
: 3196 6 1 mut 
: 3203 2 1 ge
: 3205 4 1 lebt
- 3209
: 3209 4 1 Doch 
: 3213 3 1 Pa
: 3216 3 1 ra
: 3219 5 1 die
: 3224 3 1 se 
: 3228 5 4 rei
: 3233 4 4 ßen 
: 3238 5 6 sich 
: 3244 3 4 um 
: 3248 5 1 mich 
: 3254 7 3 los
: 3261 6 3 bu
: 3267 4 3 den
: 3271 4 3 mä
: 3275 6 3 ßig, 
: 3281 37 3 eyy
- 3318
: 3329 5 8 Ihr 
: 3335 9 6 schafft 
: 3345 6 4 den 
: 3352 16 4 Rest 
* 3369 12 11 al
* 3381 13 11 lein
- 3394
: 3395 4 11 Wem 
: 3399 4 11 ist 
: 3404 3 11 heu
: 3407 2 11 te 
: 3410 5 11 kei
: 3415 2 11 ne 
: 3419 5 8 Trä
: 3424 3 8 ne 
: 3428 3 1 in 
: 3432 2 1 die 
: 3435 5 1 Hän
: 3440 3 1 de 
: 3443 3 9 ge
: 3446 7 9 flos
: 3453 5 9 sen?
- 3458
: 3461 4 8 Ihr 
: 3466 11 6 schafft 
: 3477 7 4 den 
: 3484 17 4 Rest 
* 3502 8 11 al
* 3510 20 11 lein
- 3530
: 3531 4 8 Der 
: 3536 3 11 ist 
: 3539 2 11 ein 
: 3542 4 11 schlech
: 3546 4 11 ter 
: 3550 6 1 Mensch 
: 3556 2 1 und 
: 3559 3 1 wird 
: 3562 4 1 von 
: 3567 4 1 En
: 3571 4 1 geln 
: 3575 3 11 er
: 3578 7 11 schos
: 3585 7 11 sen
- 3592
: 3593 5 8 Ihr 
: 3598 10 6 schafft 
: 3609 6 4 den 
: 3617 15 4 Rest 
* 3634 11 11 al
* 3645 27 11 lein
- 3672
: 3673 7 11 Doch 
: 3680 4 11 es 
: 3685 5 1 wird 
: 3691 3 1 al
: 3694 5 1 les 
: 3700 5 1 wie
: 3705 4 1 der 
: 3711 9 6 gut
- 3720
: 3725 4 8 Ihr 
: 3731 9 6 schafft 
: 3740 7 4 den 
: 3748 13 4 Rest 
* 3765 11 11 al
* 3776 22 11 lein
- 3798
: 3808 4 11 Denn 
: 3813 2 11 ihr 
: 3816 5 1 hört 
: 3823 3 1 die
: 3826 5 1 ses 
: 3832 6 1 Lied 
: 3839 3 11 im 
: 3843 8 11 Loop
- 3851
: 3852 3 6 Und 
: 3856 3 6 mei
: 3859 3 6 ne 
: 3863 8 6 letz
: 3871 4 6 ten 
: 3876 12 4 Wor
: 3888 11 4 te, 
: 3904 4 11 be
: 3908 13 11 vor 
: 3922 5 8 ich 
: 3929 6 8 zu 
: 3936 6 6 den 
: 3943 14 6 Ster
: 3957 9 6 nen 
: 3967 26 8 schweb'
- 3993
: 4011 16 6 Gern 
: 4028 4 4 ge
: 4032 21 4 scheh'n
- 4053 4085
- 4085
: 4107 3 11 Or
: 4110 8 11 ches
: 4118 6 11 ter
- 4124 4215
- 4215
: 4237 8 11 Pia
: 4245 7 11 no
- 4252 4267
- 4267
: 4289 5 4 Feu
: 4294 4 4 er
: 4298 5 4 zeu
: 4303 6 4 ge
- 4309 4335
- 4335
: 4357 7 1 Ja, 
: 4385 3 3 Ge
: 4388 8 3 sangs
: 4396 7 3 samp
: 4403 2 3 le
- 4405 4620
- 4620
: 4642 3 6 Und 
: 4647 2 6 mei
: 4649 2 6 ne 
: 4653 7 6 letz
: 4660 4 6 ten 
: 4665 11 6 Wor
: 4676 8 6 te, 
: 4692 4 11 be
: 4696 13 11 vor 
: 4711 6 9 ich 
: 4718 4 4 zu 
: 4726 6 6 den 
: 4733 13 6 Ster
: 4746 7 6 nen 
: 4754 20 8 schweb'
- 4774
: 4775 6 1 Man 
: 4782 9 4 mich 
: 4792 5 1 in 
: 4798 14 8 Sär
: 4812 8 8 ge 
: 4822 19 11 legt 
: 4842 7 8 und 
: 4850 6 8 in 
: 4857 6 4 die 
: 4864 14 6 Er
: 4878 9 6 de 
: 4888 18 8 gräbt
- 4906
: 4907 6 4 „Ich 
: 4914 8 4 hab' 
: 4923 6 1 dir 
: 4930 12 4 mehr 
: 4943 13 11 ge
: 4956 16 11 ge
: 4972 6 11 ben, 
: 4980 8 8 als 
: 4989 7 4 dein 
: 4997 11 3 Wert 
: 5011 9 8 be
: 5020 18 8 trägt
- 5038
: 5039 6 4 Wir 
: 5046 10 4 woll'n 
: 5056 6 9 nicht 
: 5063 10 9 Erb
: 5073 12 9 sen 
: 5086 31 11 zähl'n, 
: 5127 15 3 gern 
: 5143 7 4 ge
: 5150 21 4 scheh'n“
- 5171 5553
- 5553
: 5575 4 4 Und 
: 5580 3 4 ich 
: 5583 5 4 gab 
: 5589 3 4 je
: 5592 3 4 dem 
: 5596 5 4 Trau
: 5601 2 4 er
: 5603 6 4 fei
: 5609 2 4 er
: 5611 4 4 lied 
: 5616 3 4 die
: 5619 5 4 sel
: 5624 2 4 be 
: 5628 6 4 Chan
: 5634 2 4 ce
- 5636
: 5649 5 8 Kei
: 5654 2 8 ne 
: 5656 4 4 Mu
: 5660 4 4 sik
: 5664 4 4 ka
: 5668 4 4 pel
: 5672 3 4 le 
: 5676 7 1 konnt 
: 5684 3 1 mich 
: 5688 4 4 über
: 5692 6 4 zeu
: 5698 4 4 gen, 
: 5703 3 4 al
: 5706 2 4 so 
: 5709 7 4 schrieb 
: 5716 2 3 ich 
: 5718 5 4 schnell 
: 5723 4 3 und 
: 5727 6 4 prompt
- 5733
: 5733 3 3 Denn 
: 5736 5 4 falls 
: 5741 3 4 ich 
: 5744 3 4 nie 
: 5747 4 4 mit 
: 5751 7 6 Nach
: 5758 6 6 wuchs 
: 5765 3 4 zu 
: 5768 4 4 mei
: 5772 2 4 nen 
: 5775 5 4 Schwie
: 5780 4 4 ger
: 5784 4 4 el
: 5788 4 4 tern 
: 5793 4 4 komm'
- 5797
: 5797 3 4 Dann 
: 5801 4 4 hin
: 5805 3 4 ter
: 5808 5 4 lass' 
: 5813 4 6 ich 
: 5817 4 3 lie
: 5821 3 3 ber 
: 5824 4 3 die
: 5828 4 3 ser 
: 5832 6 3 Welt 
: 5838 3 4 'n 
: 5841 10 4 Song, 
: 5858 8 1 Fin
E
