#ARTIST:Natalia Kills
#TITLE:Wonderland
#CREATOR:blackcat6
#BPM:233,93
#YEAR:2011
#VIDEO:v=ayVuQLT00v0
#GENRE:Pop
#LANGUAGE:English
#GAP:27114,052066857606
#ALLKARAOKE_ID:natalia-kills-wonderland
#ALLKARAOKE_LASTUPDATE:2024-10-31T00:11:23.244Z
#ALLKARAOKE_ARTISTORIGIN:GB
#ALLKARAOKE_REALBPM:117
#ALLKARAOKE_VOLUME:0,91
#MP3:Natalia Kills - Wonderland.mp3
#COVER:Natalia Kills - Wonderland [CO].jpg
#BACKGROUND:Natalia Kills - Wonderland [BG].jpg
: 1521 3 -2 night, 
: 1525 2 -2 we'll 
: 1529 3 -2 be 
: 1533 1 -2 a 
: 1537 2 -2 sweet 
: 1541 1 -2 di
: 1545 2 -2 sas
: 1549 1 -2 ter
- 1550
: 1553 1 1 I 
: 1557 6 8 don't 
: 1565 3 5 be
: 1569 7 5 lieve 
: 1577 1 3 in 
: 1581 10 3 fai
: 1593 1 1 ry
: 1597 10 1 tales
- 1607
: 1616 2 1 I 
: 1621 6 8 don't 
: 1629 3 5 be
: 1633 7 5 lieve 
: 1641 1 3 in 
* 1645 10 3 fai
* 1657 1 5 ry
* 1661 11 5 tales
- 1672
: 1680 2 1 I 
: 1685 6 8 don't 
: 1693 3 5 be
: 1697 7 5 lieve 
: 1705 1 3 in 
: 1709 11 3 fai
: 1721 1 1 ry
: 1725 8 1 tales
- 1733
: 1737 2 1 But 
: 1741 10 1 I 
: 1753 3 8 be
: 1757 11 5 lieve 
: 1769 2 3 in 
: 1773 7 1 you 
: 1785 2 8 and 
: 1789 5 5 me
- 1794
: 1798 2 0 Take 
: 1802 3 0 me 
: 1806 2 0 to 
: 1810 3 1 Won
: 1814 2 -2 der
: 1817 5 -2 land
: 1823 2 -4 ~
- 1825
: 1830 1 0 Take 
: 1833 4 0 me 
: 1838 2 0 to, 
: 1846 1 0 take 
: 1849 4 0 me 
: 1854 2 0 to
- 1856
: 1862 1 0 Take 
: 1865 3 0 me 
: 1869 2 0 to 
: 1873 3 1 Won
: 1877 3 -2 der
: 1881 5 -2 land
: 1887 2 -4 ~
- 1889
: 1894 1 0 Take 
: 1897 3 0 me 
: 1901 3 0 to, 
: 1909 2 0 take 
: 1913 3 0 me 
: 1917 2 0 to
- 1919
: 1925 2 0 Take 
: 1929 3 0 me 
: 1933 3 0 to 
: 1937 3 1 Won
: 1941 3 -2 der
: 1945 5 -2 land
: 1951 2 -4 ~
- 1953
: 1958 2 0 Take 
: 1962 2 0 me 
: 1965 3 0 to, 
: 1974 1 0 take 
: 1977 3 0 me 
: 1981 2 0 to
- 1983
: 1990 1 0 Take 
: 1993 3 0 me 
: 1997 2 0 to 
: 2001 3 1 Won
: 2005 3 -2 der
: 2009 5 -2 land
: 2015 1 -4 ~, 
: 2018 2 1 Won
: 2021 3 -2 der
: 2025 5 -2 land
: 2031 1 -4 ~, 
: 2034 2 1 Won
: 2037 3 -2 der
: 2041 5 -2 land
: 2047 1 -4 ~
- 2048
: 2050 2 5 Won
: 2053 3 5 der
: 2057 24 5 land, 
* 2089 3 8 woah 
* 2093 13 5 oh, 
* 2109 4 3 oh, 
* 2117 4 1 oh
- 2121 2138
- 2138
: 2154 2 8 Ho 
: 2158 12 5 oh, 
: 2174 4 3 oh, 
: 2182 4 1 oh
- 2186 2202
- 2202
: 2218 3 8 Woah 
: 2222 12 5 oh, 
: 2237 4 3 oh, 
: 2245 4 1 oh
- 2249
: 2257 7 1 I 
: 2267 2 8 be
: 2270 10 5 lieve 
: 2282 2 3 in 
: 2286 10 1 you 
: 2299 2 8 and 
: 2302 11 5 me
- 2313 2338
- 2338
: 2354 2 1 I 
: 2358 6 8 don't 
: 2366 3 5 be
: 2370 6 5 lieve 
: 2378 1 3 in 
: 2382 9 3 fai
: 2393 1 1 ry
: 2398 9 1 tales
- 2407
: 2417 2 1 I 
: 2422 6 8 don't 
: 2430 3 5 be
: 2434 7 5 lieve 
: 2442 1 3 in 
: 2446 10 3 fai
: 2458 1 5 ry
: 2462 11 5 tales
- 2473
: 2481 2 1 I 
: 2486 6 8 don't 
: 2494 3 5 be
: 2498 6 5 lieve 
: 2505 1 3 in 
: 2510 10 3 fai
: 2522 1 1 ry
: 2526 9 1 tales
- 2535
: 2538 3 1 But 
* 2542 9 1 I 
* 2553 3 8 be
* 2557 11 5 lieve 
: 2570 2 3 in 
: 2574 7 1 you 
: 2585 3 8 and 
: 2589 6 5 me
- 2595
: 2598 2 0 Take 
: 2602 3 0 me 
: 2606 2 0 to 
: 2610 3 1 Won
: 2614 3 -2 der
: 2618 5 -2 land
: 2624 2 -4 ~
- 2626
: 2630 2 0 Take 
: 2634 3 0 me 
: 2638 2 0 to, 
: 2646 2 0 take 
: 2650 3 0 me 
: 2654 2 0 to
- 2656
: 2662 2 0 Take 
: 2666 3 0 me 
: 2670 2 0 to 
: 2674 3 1 Won
: 2678 2 -2 der
: 2681 6 -2 land
: 2688 2 -4 ~
- 2690
: 2694 2 0 Take 
: 2698 3 0 me 
: 2702 2 0 to, 
: 2710 2 0 take 
: 2714 3 0 me 
: 2718 2 0 to
- 2720
: 2726 2 0 Take 
: 2730 3 0 me 
: 2734 3 0 to 
: 2738 3 1 Won
: 2742 3 -2 der
: 2746 5 -2 land
: 2752 2 -4 ~
- 2754
: 2758 2 0 Take 
: 2762 3 0 me 
: 2766 2 0 to, 
: 2774 2 0 take 
: 2778 3 0 me 
: 2782 2 0 to
- 2784
: 2790 2 0 Take 
: 2794 3 0 me 
: 2798 1 0 to
- 2799
: 2802 6 1 I 
: 2810 3 6 be
: 2814 9 5 lieve 
: 2825 3 3 in 
: 2830 4 1 you 
: 2842 2 8 and 
: 2846 7 5 me
- 2853
: 2866 3 1 Won
: 2870 3 -2 der
: 2874 5 -2 land
: 2880 2 -4 ~
- 2882
: 2886 2 0 Take 
: 2890 3 0 me 
: 2894 2 0 to, 
: 2902 2 0 take 
: 2906 3 0 me 
: 2910 2 0 to
- 2912
: 2918 2 0 Take 
: 2922 3 0 me 
: 2926 3 0 to 
: 2930 3 1 Won
: 2934 3 -2 der
: 2938 5 -2 land
: 2944 2 -4 ~
- 2946
: 2950 2 0 Take 
: 2954 3 0 me 
: 2958 2 0 to, 
: 2966 2 0 take 
: 2970 3 0 me 
: 2974 2 0 to
- 2976
: 2983 2 0 Take 
: 2987 2 0 me 
: 2990 3 0 to 
* 2995 2 1 Won
* 2998 3 -2 der
* 3002 5 -2 land
* 3008 2 -4 ~
- 3010
: 3015 2 0 Take 
: 3019 2 0 me 
: 3022 2 0 to, 
: 3030 2 0 take 
: 3034 3 0 me 
: 3038 2 0 to
- 3040
: 3047 2 0 Take 
: 3051 2 0 me 
: 3054 3 0 to 
: 3058 3 1 Won
: 3062 3 -2 der
: 3066 5 -2 land
: 3072 2 -4 ~
- 3074
: 3079 2 0 Take 
: 3083 2 0 me 
: 3086 3 0 to 
: 3090 3 1 Won
: 3094 3 -2 der
: 3098 5 -2 land
: 3104 2 -4 ~
- 3106
: 3111 2 0 Take 
: 3115 2 0 me 
: 3118 3 0 to 
: 3122 3 1 Won
: 3126 3 -2 der
: 3130 5 -2 land
: 3136 3 -4 ~
E
