#ARTIST:Eir Aoi
#TITLE:IGNITE
#CREATOR:omega-xis
#BPM:342,72
#YEAR:2014
#VIDEO:v=UgQeSizFJ3A
#LANGUAGE:Japanese
#GAP:163,34733893557427
#ALLKARAOKE_ID:eir-aoi-ignite
#ALLKARAOKE_SID:1444
#ALLKARAOKE_LASTUPDATE:2025-02-19T00:11:20.879Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:171
#ALLKARAOKE_SOURCEURL:https://www.youtube.com/watch?v=UgQeSizFJ3A
#ALLKARAOKE_VOLUME:0,75
#ALLKARAOKE_OLDVOLUME:0,75
#MP3:Eir Aoi - IGNITE (TV).mp3
: 1330 2 9 no
: 1334 13 11 ~ 
: 1350 2 7 se
: 1354 10 9 ~
: 1366 2 5 ka
: 1370 6 7 ~
: 1378 2 5 i 
: 1382 9 5 wo
- 1391
: 1397 2 5 So
: 1401 10 7 ~
: 1413 2 12 no
: 1417 6 14 ~
: 1425 2 7 ~ 
: 1429 2 5 te
: 1433 10 7 ~ 
* 1445 2 12 de
* 1449 5 14 ~
- 1454
: 1462 2 16 U
: 1466 6 14 chi
: 1474 2 11 ha
: 1478 2 12 ~
: 1482 6 11 na
: 1490 2 11 te
: 1494 1 12 ~
- 1495
: 1498 2 12 A
: 1502 2 12 ka
: 1506 2 12 i 
* 1510 2 12 na
* 1514 2 11 mi
* 1518 2 9 da 
: 1522 2 11 de
: 1526 30 12 ~
- 1556
: 1562 2 5 O
: 1566 2 5 o
: 1570 2 5 wa
: 1574 2 5 re
* 1578 2 5 ta 
* 1582 2 12 ka
: 1586 2 9 na
: 1590 13 11 ~
: 1606 2 7 shi
: 1610 10 9 ~
* 1622 2 5 mi
* 1626 6 7 ~
* 1634 2 5 ~ 
: 1638 10 5 wo
- 1648
: 1654 2 5 So
: 1658 9 7 ~
: 1670 2 12 tto
: 1674 6 14 ~
: 1682 2 7 ~ 
: 1686 2 5 so
: 1690 9 7 ~
: 1702 2 12 tto
: 1706 5 14 ~
- 1711
* 1719 2 16 Da
* 1723 5 14 ki
: 1731 2 11 shi
: 1735 2 12 ~
: 1739 6 11 me
: 1747 2 11 te
: 1751 23 12 ~
- 1774
: 1779 2 0 Na
: 1783 1 11 ri
: 1786 3 12 ~
: 1791 2 12 hi
: 1795 6 12 bii
: 1803 5 11 ta 
: 1811 6 9 shou
* 1819 1 14 do
* 1822 3 16 u 
: 1827 7 16 ga
- 1834
: 1839 5 9 Ha
: 1847 6 12 ji
: 1855 2 12 ma
: 1859 6 12 ri 
: 1867 6 11 no 
: 1875 6 9 o
: 1883 6 16 to 
: 1891 4 16 ni
- 1895
* 1899 2 9 Ka
* 1903 2 11 ~
* 1907 2 12 wa
* 1911 2 9 ru
: 1915 29 11 ~
- 1944
: 1951 6 9 Yo
: 1959 6 16 u 
* 1967 2 11 ni
: 1971 64 13 ~
E
