#ARTIST:Hamilton
#TITLE:My Shot
#CREATOR:matthu
#BPM:300
#YEAR:2015
#VIDEO:v=lZ4UmlFNdSI
#LANGUAGE:English
#GAP:-50
#ALLKARAOKE_ID:hamilton-my-shot
#ALLKARAOKE_LASTUPDATE:2024-05-20T19:25:45.209Z
#ALLKARAOKE_ARTISTORIGIN:GB
#ALLKARAOKE_REALBPM:180
#ALLKARAOKE_VOLUME:1
#MP3:Hamilton - My Shot [DUET].mp3
- 476
: 477 2 14 Try
: 480 1 14 in’ 
: 483 1 14 to 
: 485 2 14 reach 
: 488 1 14 my 
: 490 4 14 goal, 
- 494
: 496 2 14 My 
: 499 4 14 po
: 504 3 14 wer 
: 509 1 14 of 
: 511 3 14 speech: 
: 516 3 14 un
: 520 1 14 im
: 522 2 14 pea
: 526 2 14 cha
: 529 4 14 ble 
- 533
: 537 2 12 On
: 540 2 12 ly 
: 543 4 12 nine
: 548 5 12 teen, 
: 556 2 12 but 
: 559 2 12 my 
: 562 4 12 mind 
: 569 2 12 is 
: 572 3 12 ol
: 577 5 12 der 
- 582
: 587 2 12 These 
: 590 2 12 New 
: 593 2 12 York 
: 596 2 12 Ci
: 599 2 12 ty 
: 602 4 12 streets 
: 608 1 12 get
: 610 2 12 ting 
: 613 3 14 col
: 617 2 14 der, 
: 623 2 14 I 
: 626 4 14 shoul
: 631 3 14 der 
- 634
: 637 1 14 Ev’
: 639 2 14 ry 
: 643 3 14 bur
: 647 1 14 den, 
: 650 2 14 ev’
: 653 1 14 ry 
: 655 2 14 dis
: 658 2 14 ad
: 661 2 14 van
: 665 3 14 tage 
- 668
: 669 2 14 I 
: 672 3 14 have 
: 676 2 14 learned 
: 679 2 14 to 
: 682 2 14 ma
: 685 4 14 nage 
- 689
: 690 1 14 I 
: 693 2 14 don’t 
: 696 2 14 have 
: 699 2 14 a 
: 702 2 14 gun 
: 705 2 14 to 
: 708 2 14 bran
: 711 3 14 dish 
- 714
: 716 2 14 I 
: 719 2 14 walk 
: 722 2 14 these 
: 725 4 14 streets 
: 732 3 14 fa
: 737 6 14 mished 
- 743
: 746 2 14 The 
: 749 3 14 plan 
: 754 2 14 is 
: 758 2 14 to 
: 761 3 14 fan 
: 766 3 14 this 
: 770 5 14 spark 
: 776 2 14 in
: 779 3 14 to 
: 783 2 14 a 
: 787 5 14 flame 
- 792
: 797 2 14 But 
: 800 3 14 damn, 
: 804 1 14 it’s 
: 806 2 14 get
: 810 2 14 ting 
: 813 4 14 dark, 
- 817
F 819 1 14 So 
F 821 2 14 let 
F 824 1 14 me 
F 827 2 14 spell 
F 830 2 14 out 
F 833 2 14 my 
F 837 5 14 name 
F 843 2 14 I 
F 846 2 14 am 
F 849 2 14 the— 
- 851
F 853 2 14 A-
F 856 3 14 L, 
F 865 2 14 E-
F 869 3 14 X, 
F 879 2 14 A-
F 882 3 14 N, 
F 893 3 14 D, 
F 907 2 14 E-
F 911 4 14 R 
- 915
F 921 3 14 We 
F 925 3 14 are 
F 932 3 14 meant 
F 939 2 14 to 
F 943 4 14 be 
- 947
F 951 2 14 A 
F 954 4 14 co
F 960 2 14 lo
F 963 5 14 ny 
F 971 1 14 that 
F 974 4 14 runs 
F 979 3 14 in
F 984 1 14 de
F 986 4 14 pen
F 993 2 14 den
F 997 5 14 tly 
- 1002
F 1005 2 14 Mean
F 1008 3 14 while, 
: 1013 3 14 Bri
: 1018 2 14 tain 
: 1025 1 14 keeps 
: 1027 4 14 shit
: 1032 3 14 ting 
: 1036 2 14 on 
: 1039 2 14 us 
: 1045 2 14 end
: 1049 2 14 less
: 1052 5 14 ly 
- 1057
F 1060 1 14 E
F 1062 3 14 ssen
F 1067 2 14 tial
F 1070 4 14 ly, 
F 1078 1 14 they 
F 1080 3 14 tax 
F 1086 2 14 us 
F 1090 3 14 re
F 1094 3 14 lent
F 1099 2 14 less
F 1103 5 14 ly 
- 1108
F 1112 1 14 Then 
F 1114 4 14 King 
F 1119 3 14 George 
F 1125 3 14 turns 
F 1130 1 14 a
F 1132 5 14 round, 
F 1139 3 14 runs 
F 1143 1 14 a 
F 1145 6 14 spen
F 1152 2 14 ding 
F 1155 6 14 spree 
- 1161
F 1165 2 14 He 
F 1169 2 14 ain’t 
F 1172 2 14 ne
F 1175 2 14 ver 
F 1178 2 14 gon
F 1181 2 14 na 
F 1185 3 14 set 
F 1191 3 14 his 
F 1195 2 14 de
F 1198 5 14 scen
F 1204 2 14 dants 
F 1207 6 14 free 
- 1213
F 1216 1 14 So 
F 1219 2 14 there 
F 1222 2 14 will 
F 1225 5 14 be 
F 1231 1 14 a 
F 1233 1 14 re
F 1235 1 14 vo
F 1238 2 14 lu
F 1241 2 14 tion 
F 1244 2 14 in 
F 1247 2 14 this 
F 1251 5 14 cen
F 1257 2 14 tur
F 1261 5 14 y 
- 1266
F 1270 3 14 EN
F 1275 2 14 TER 
F 1281 7 14 ME! 
- 1288 1304
- 1304
F 1324 1 14 Don’t 
F 1326 2 14 be 
F 1329 4 14 shocked 
F 1336 2 14 when 
F 1339 2 14 your 
F 1343 2 14 his
F 1346 2 14 t’ry 
F 1350 3 14 book 
F 1354 7 14 men
F 1362 2 14 tions 
F 1366 6 14 me 
- 1372
F 1376 2 14 I 
F 1379 2 14 will 
F 1382 4 14 lay 
F 1388 2 14 down 
F 1392 2 14 my 
F 1396 4 14 life 
F 1401 3 14 if 
F 1405 2 14 it 
F 1408 5 14 sets 
F 1415 2 14 us 
F 1419 5 14 free 
- 1424
F 1429 5 14 Even
F 1435 3 14 tual
F 1439 4 14 ly 
F 1445 4 14 you’ll 
F 1451 3 14 see 
F 1455 2 14 my 
F 1459 3 14 a
F 1463 2 14 scen
F 1466 4 14 dan
F 1472 5 14 cy 
- 1477
: 1482 2 14 And 
: 1485 2 14 I 
: 1488 1 14 am 
: 1490 3 14 not 
: 1494 1 14 throw
: 1496 1 14 ing 
: 1499 1 14 a
: 1501 4 14 way 
: 1507 5 14 my 
: 1520 6 14 shot 
- 1526
: 1534 3 14 I 
: 1538 2 14 am 
: 1541 4 14 not 
: 1547 1 14 throw
: 1549 1 14 ing 
: 1551 1 14 a
: 1554 4 14 way 
: 1560 6 14 my 
: 1571 7 14 shot 
- 1578
: 1583 2 14 Hey 
: 1587 2 14 yo, 
: 1590 2 14 I’m 
: 1593 4 14 just 
: 1599 2 14 like 
: 1603 2 14 my 
: 1606 2 14 count
: 1610 3 14 ry 
- 1613
: 1615 3 14 I’m 
: 1619 3 14 young, 
: 1624 2 14 scrap
: 1627 2 14 py, 
: 1630 2 14 and 
: 1633 2 14 hung
: 1637 3 14 ry 
- 1640
* 1644 1 14 And 
* 1646 1 14 I’m 
* 1648 3 14 not 
* 1655 1 14 throw
* 1657 1 14 ing 
* 1660 1 14 a
* 1662 3 14 way 
* 1666 4 14 my 
* 1677 9 14 shot 
- 1686
* 1692 2 14 I 
* 1696 1 14 am 
* 1698 5 14 not 
* 1705 1 14 throw
* 1707 1 14 ing 
* 1710 1 14 a
* 1712 4 14 way 
* 1718 6 14 my 
* 1730 5 14 shot 
- 1735
* 1746 3 14 I 
* 1750 2 14 am 
* 1753 4 14 not 
* 1758 1 14 throw
* 1760 1 14 ing 
* 1762 1 14 a
* 1764 4 14 way 
* 1770 4 14 my 
* 1782 5 14 shot 
- 1787
* 1794 2 14 Hey 
* 1797 2 14 yo, 
* 1801 2 14 I’m 
* 1804 4 14 just 
* 1810 1 14 like 
* 1813 2 14 my 
* 1817 2 14 coun
* 1820 2 14 try 
- 1822
* 1824 2 14 I’m 
* 1827 4 14 young, 
* 1833 2 14 scrap
* 1836 3 14 py, 
* 1840 2 14 and 
* 1843 2 14 hung
* 1847 2 14 ry 
- 1849
* 1850 2 14 And 
* 1853 2 14 I’m 
* 1856 4 14 not 
* 1863 1 14 throw
* 1865 1 14 ing 
* 1868 1 14 a
* 1870 4 14 way 
* 1876 5 14 my 
* 1889 6 14 shot 
- 1895
* 1902 3 14 It’s 
* 1906 2 14 time 
* 1909 1 14 to 
* 1911 2 14 take 
* 1914 1 14 a 
* 1917 6 19 shot 
- 1923 2107
- 2107
F 2127 9 19 Shot 
- 2136 2321
- 2321
F 2341 6 19 Shot 
- 2347 2532
- 2532
F 2552 3 14 Shot 
- 2555 2745
- 2745
F 2765 9 14 Shot 
- 2774
F 2780 3 14 Burr, 
F 2788 2 14 check 
F 2791 2 14 what 
F 2795 2 14 we 
F 2798 4 14 got 
- 2802
F 2805 5 14 Mr 
F 2813 4 14 La
F 2818 3 14 fa
F 2822 4 14 yette 
F 2828 3 14 hard 
F 2832 3 14 rock 
F 2837 2 14 like 
F 2840 5 14 Lan
F 2846 3 14 ce
F 2850 4 14 lot 
- 2854
F 2858 2 14 I 
F 2861 2 14 think 
F 2864 2 14 your 
F 2867 5 14 pants 
F 2873 2 14 look 
F 2876 5 14 hot 
- 2881
F 2883 3 14 Lau
F 2887 2 14 rens, 
F 2891 1 14 I 
F 2893 2 14 like 
F 2896 2 14 you 
F 2899 2 14 a 
F 2902 4 14 lot 
- 2906
F 2910 3 14 Let’s 
F 2914 2 14 hatch 
F 2917 2 14 a 
F 2920 4 14 plot 
F 2925 3 14 bla
F 2929 2 14 cker 
F 2932 3 14 than 
F 2936 2 14 the 
F 2939 2 14 ket
F 2942 2 14 tle 
F 2945 3 14 cal
F 2949 2 14 lin’ 
F 2952 2 14 the 
F 2955 5 14 pot 
- 2960
F 2962 2 14 What 
F 2965 2 14 are 
F 2968 3 14 the 
F 2972 4 14 odds 
F 2978 2 14 the 
F 2982 5 14 gods 
F 2988 2 14 would 
F 2991 2 14 put 
F 2995 2 14 us 
F 2998 2 14 all 
F 3001 2 14 in 
F 3005 2 14 one 
F 3008 6 14 spot 
- 3014
F 3016 2 14 Pop
F 3019 2 14 pin’ 
F 3022 2 14 a 
F 3025 4 14 squat 
F 3030 1 14 on 
F 3032 3 14 con
F 3036 4 14 ven
F 3041 2 14 tio
F 3044 1 14 nal 
F 3046 3 14 wis
F 3050 2 14 dom, 
F 3053 2 14 like 
F 3056 2 14 it 
F 3059 2 14 or 
F 3062 4 14 not 
- 3066
F 3068 2 14 A 
F 3071 2 14 bunch 
F 3074 2 14 of 
F 3078 2 14 re
F 3081 3 14 vo
F 3085 2 14 lu
F 3088 2 14 tio
F 3091 2 14 na
F 3094 2 14 ry 
F 3098 2 14 ma
F 3101 2 14 num
F 3104 2 14 is
F 3108 2 14 sion 
F 3112 2 14 a
F 3115 2 14 bo
F 3118 2 14 li
F 3121 1 14 tion
F 3123 4 14 ists 
- 3127
F 3131 3 14 Give 
F 3135 2 14 me 
F 3138 1 14 a 
F 3140 2 14 po
F 3143 2 14 si
F 3147 3 14 tion, 
F 3151 2 14 show 
F 3154 2 14 me 
F 3157 2 14 where 
F 3160 2 14 the 
F 3164 2 14 am
F 3167 2 14 mu
F 3170 5 14 ni
F 3176 5 14 tion 
F 3183 4 14 is 
- 3187
F 3202 3 14 Oh, 
F 3206 1 14 am 
F 3208 2 14 I 
F 3211 3 14 tal
F 3215 2 14 kin’ 
F 3218 2 14 too 
F 3221 4 14 loud? 
- 3225
F 3229 2 14 Some
F 3232 2 14 times 
F 3235 2 14 I 
F 3238 2 14 get 
F 3241 3 14 o
F 3245 2 14 ver 
F 3248 2 14 ex
F 3251 2 14 ci
F 3254 3 14 ted, 
F 3261 2 14 shoot 
F 3264 2 14 off 
F 3267 2 14 at 
F 3271 2 14 the 
F 3275 5 14 mouth 
- 3280
F 3283 2 14 I 
F 3286 1 14 ne
F 3288 2 14 ver 
F 3291 2 14 had 
F 3294 2 14 a 
F 3298 2 14 group 
F 3301 2 14 of 
F 3304 2 14 friends 
F 3307 2 14 be
F 3311 4 14 fore 
- 3315
F 3316 2 14 I 
F 3319 3 14 pro
F 3323 3 14 mise 
F 3327 1 14 that 
F 3329 2 14 I’ll 
F 3332 2 14 make 
F 3335 5 14 y’all 
F 3341 5 14 proud 
- 3346 3372
- 3372
* 3392 1 14 I 
* 3394 1 14 am 
* 3396 5 14 not 
* 3404 1 14 throw
* 3406 1 14 ing 
* 3408 1 14 a
* 3410 4 14 way 
* 3415 6 14 my 
* 3427 7 14 shot 
- 3434
* 3442 2 14 I 
* 3446 2 14 am 
* 3449 4 14 not 
* 3455 1 14 throw
* 3457 1 14 ing 
* 3459 1 14 a
* 3462 5 14 way 
* 3468 6 14 my 
* 3481 6 14 shot 
- 3487
* 3492 2 14 Hey 
* 3495 2 14 yo, 
* 3498 2 14 I’m 
* 3502 4 15 just 
* 3508 2 15 like 
* 3511 2 15 my 
* 3515 2 15 coun
* 3518 2 15 try 
- 3520
* 3522 2 15 I’m 
* 3525 4 15 young, 
* 3531 2 15 scrap
* 3535 2 15 py, 
* 3538 2 15 and 
* 3541 2 15 hun
* 3544 2 15 gry 
- 3546
* 3548 2 15 And 
* 3551 2 15 I’m 
* 3554 3 15 not 
* 3561 1 15 throw
* 3563 1 15 ing 
* 3565 1 15 a
* 3568 4 15 way 
* 3574 5 15 my 
* 3587 5 14 shot 
- 3592
* 3601 2 14 I 
* 3604 2 14 am 
* 3607 4 14 not 
* 3614 1 14 throw
* 3617 1 14 ing 
* 3619 1 14 a
* 3621 4 14 way 
* 3626 5 14 my 
* 3639 5 14 shot 
- 3644
* 3653 2 14 I 
* 3657 2 14 am 
* 3660 4 14 not 
* 3667 1 14 throw
* 3669 1 14 ing 
* 3671 1 14 a
* 3673 4 14 way 
* 3679 5 14 my 
* 3692 5 14 shot 
- 3697
* 3703 2 14 Hey 
* 3706 2 14 yo, 
* 3709 2 14 I’m 
* 3712 4 15 just 
* 3718 2 15 like 
* 3722 2 15 my 
* 3725 2 15 coun
* 3728 2 15 try 
- 3730
* 3732 2 15 I’m 
* 3735 5 15 young, 
* 3742 2 15 scrap
* 3745 2 15 py, 
* 3749 2 15 and 
* 3752 2 15 hun
* 3756 2 15 gry 
- 3758
* 3759 2 15 And 
* 3762 2 15 I’m 
* 3765 3 15 not 
* 3772 1 15 throw
* 3774 1 15 ing 
* 3776 1 15 a
* 3779 4 15 way 
* 3785 4 15 my 
* 3792 7 14 shot 
- 3799 3801
- 3801
* 3821 5 19 Woah 
* 3830 4 19 woah, 
* 3841 10 19 wo
* 3854 10 17 ah
* 3868 12 14 oh 
- 3880
* 3899 4 14 Wo
* 3905 12 17 ah
* 3918 7 15 oh 
- 3925 3932
- 3932
* 3952 5 14 Wo
* 3960 10 17 ah
* 3971 10 15 oh 
- 3981 3982
- 3982
* 4002 15 12 Yeah 
- 4017
* 4030 6 19 Woah 
* 4039 7 19 woah, 
* 4051 10 19 wo
* 4062 11 17 ah
* 4076 9 14 oh 
- 4085 4091
- 4091
* 4111 6 14 Wo
* 4119 10 17 ah
* 4131 12 15 oh 
- 4143
* 4163 5 14 Wo
* 4170 11 17 ah
* 4184 9 15 oh 
- 4193
* 4207 11 12 Yeah 
- 4218 4222
- 4222
: 4242 6 7 Rise 
: 4250 8 14 up 
- 4258
: 4261 3 14 When 
: 4265 2 14 you’re 
: 4268 3 14 li
: 4272 2 12 ving 
: 4275 2 12 on 
: 4278 2 14 your 
: 4281 5 14 knees, 
: 4287 5 12 you 
: 4294 8 5 rise 
: 4304 7 14 up 
- 4311
: 4314 2 14 Tell 
: 4317 2 14 your 
: 4320 4 14 bro
: 4325 2 12 ther 
: 4329 2 12 that 
: 4332 7 14 he’s 
: 4341 2 12 got 
: 4344 2 10 to 
: 4347 8 7 rise 
: 4356 6 14 up 
- 4362
: 4366 3 14 Tell 
: 4370 2 14 your 
: 4373 5 14 sis
: 4379 3 14 ter 
: 4383 2 14 that 
: 4386 6 17 she’s 
: 4393 2 14 got 
: 4396 2 14 to 
: 4399 4 15 ri
: 4404 3 14 ~se 
: 4409 6 14 up 
- 4415 4455
- 4455
* 4475 9 19 Wo
* 4489 8 17 ah
* 4500 11 14 oh 
- 4511 4512
- 4512
* 4532 7 14 Wo
* 4540 12 17 ah
* 4553 12 15 oh 
- 4565 4566
- 4566
* 4586 7 14 Wo
* 4594 9 17 ah
* 4604 11 15 oh 
- 4615
: 4630 9 14 Rise 
F 4641 7 14 up 
- 4648
F 4652 2 14 I 
F 4655 2 14 i
F 4658 2 14 ma
F 4661 3 14 gine 
F 4665 4 14 death 
F 4670 1 14 so 
F 4672 2 14 much 
F 4675 2 14 it 
F 4678 4 14 feels 
F 4683 2 14 more 
F 4686 1 14 like 
F 4688 1 14 a 
F 4691 2 14 me
F 4694 1 14 mo
F 4696 4 14 ry 
- 4700
F 4704 2 14 When’s 
F 4707 2 14 it’s 
F 4710 2 14 gon
F 4713 2 14 na 
F 4717 4 14 get 
F 4722 5 14 me? 
- 4727
F 4730 2 14 In 
F 4733 2 14 my 
F 4736 4 14 sleep? 
- 4740
F 4744 2 14 Se
F 4747 2 14 ven 
F 4750 2 14 feet 
F 4754 2 14 a
F 4757 2 14 head 
F 4760 2 14 of 
F 4763 4 14 me? 
- 4767
F 4771 2 14 If 
F 4774 2 14 I 
F 4777 3 14 see 
F 4781 2 14 it 
F 4784 2 14 com
F 4787 2 14 ing, 
F 4790 2 14 do 
F 4794 1 14 I 
F 4796 2 14 run 
F 4800 2 14 or 
F 4803 2 14 do 
F 4806 2 14 I 
F 4810 2 14 let 
F 4813 2 14 it 
F 4816 4 14 be? 
- 4820
F 4825 2 14 Is 
F 4828 1 14 it 
F 4830 2 14 like 
F 4834 2 14 a 
F 4837 3 14 beat 
F 4841 2 14 wit
F 4844 2 14 hout 
F 4847 2 14 a 
F 4850 2 14 me
F 4853 2 14 lo
F 4856 4 14 dy? 
- 4860
F 4864 2 14 See, 
F 4867 2 14 I 
F 4870 2 14 ne
F 4873 2 14 ver 
F 4877 3 14 thought 
F 4881 2 14 I’d 
F 4884 6 14 live 
F 4891 5 14 past 
F 4897 3 14 twen
F 4901 4 14 ty 
- 4905
F 4912 2 14 Where 
F 4915 2 14 I 
F 4918 3 14 come 
F 4923 4 14 from 
F 4929 4 14 some 
F 4937 3 14 get 
F 4942 4 14 half 
F 4947 3 14 as 
F 4951 7 14 many 
- 4958
F 4963 4 14 Ask 
F 4970 2 14 a
F 4973 2 14 ny
F 4976 2 14 bo
F 4980 2 14 dy 
F 4983 2 14 why 
F 4987 2 14 we 
F 4990 3 14 li
F 4994 2 14 vin’ 
F 4997 4 14 fast 
F 5004 2 14 and 
F 5008 2 14 we 
F 5011 5 14 laugh, 
F 5017 3 14 reach 
F 5021 2 14 for 
F 5028 1 14 a 
F 5030 6 14 flask 
- 5036
F 5040 2 14 We 
F 5043 3 14 have 
F 5047 2 14 to 
F 5050 3 14 make 
F 5054 2 14 this 
F 5057 2 14 mo
F 5060 2 14 ment 
F 5064 6 14 last, 
F 5073 4 14 that’s 
F 5078 5 14 plen
F 5085 3 14 ty 
- 5088
F 5089 8 14 Scratch 
F 5098 4 14 that 
- 5102
F 5105 2 14 This 
F 5108 1 14 is 
F 5111 2 14 not 
F 5114 1 14 a 
F 5116 3 14 mo
F 5120 3 14 ment, 
F 5124 2 14 it’s 
F 5127 2 14 the 
F 5130 4 14 move
F 5136 4 14 ment 
- 5140
F 5144 2 14 Where 
F 5147 2 14 all 
F 5150 2 14 the 
F 5153 3 14 hun
F 5157 2 14 gri
F 5160 2 14 est 
F 5163 3 14 brot
F 5167 2 14 hers 
F 5170 2 14 with 
F 5173 2 14 some
F 5176 2 14 thing 
F 5180 2 14 to 
F 5183 5 14 prove 
F 5190 4 14 went 
- 5194
F 5200 5 14 Foes 
F 5207 2 14 op
F 5210 5 14 pose 
F 5216 3 14 us, 
F 5226 2 14 we 
F 5229 4 14 take 
F 5234 2 14 an 
F 5237 2 14 hon
F 5240 2 14 est 
F 5243 5 14 stand 
- 5248
F 5250 3 14 We 
F 5255 4 14 roll 
F 5262 4 14 like 
F 5269 5 14 Mos
F 5275 4 14 es, 
F 5283 2 14 claim
F 5286 1 14 in’ 
F 5288 2 14 our 
F 5291 3 14 Pro
F 5295 1 14 mised 
F 5297 4 14 Land 
- 5301
F 5311 7 14 And 
F 5325 3 14 if 
F 5329 1 14 we 
F 5331 2 14 win 
F 5334 1 14 our 
F 5336 2 14 in
F 5340 2 14 de
F 5343 4 14 pen
F 5349 4 14 dence 
- 5353
F 5359 5 14 ’Zat 
F 5365 1 14 a 
F 5368 2 14 gua
F 5371 2 14 ran
F 5374 2 14 tee 
F 5377 2 14 of 
F 5380 2 14 free
F 5384 2 14 dom 
F 5387 2 14 for 
F 5390 2 14 our 
F 5393 2 14 des
F 5396 5 14 cen
F 5402 5 14 dants? 
- 5407
F 5413 2 14 Or 
F 5418 2 14 will 
F 5421 2 14 the 
F 5424 4 14 blood 
F 5429 2 14 we 
F 5433 5 14 shed 
F 5440 2 14 be
F 5443 3 14 gin 
F 5448 1 14 an 
F 5450 4 14 end
F 5456 4 14 less 
- 5460
F 5462 3 14 Cy
F 5466 2 14 cle 
F 5470 2 14 of 
F 5473 5 14 ven
F 5480 2 14 geance 
F 5483 3 14 and 
F 5488 6 14 death 
F 5495 1 14 with 
F 5497 2 14 no 
F 5500 2 14 de
F 5503 5 14 fen
F 5510 5 14 dants? 
- 5515
F 5522 2 14 I 
F 5525 1 14 know 
F 5527 2 14 the 
F 5530 3 14 ac
F 5534 2 14 tion 
F 5538 2 14 in 
F 5541 1 14 the 
F 5543 2 14 street 
F 5547 2 14 is 
F 5550 2 14 ex
F 5553 4 14 cit
F 5558 2 14 in’ 
- 5560
F 5561 2 14 But 
F 5565 1 14 Je
F 5567 3 14 sus, 
F 5571 2 14 bet
F 5574 2 14 ween 
F 5577 2 14 all 
F 5581 2 14 the 
F 5584 2 14 blee
F 5587 2 14 din’ 
F 5591 2 14 ’n 
F 5594 2 14 figh
F 5598 2 14 tin’ 
- 5600
F 5601 2 14 I’ve 
F 5605 2 14 been 
F 5608 3 14 rea
F 5612 2 14 din’ 
F 5616 3 14 ’n 
F 5620 2 14 wri
F 5623 3 14 tin’ 
- 5626
F 5629 1 14 We 
F 5632 1 14 need 
F 5634 1 14 to 
F 5636 3 14 han
F 5640 2 14 dle 
F 5643 2 14 our 
F 5647 2 14 fi
F 5650 2 14 nan
F 5653 2 14 cial 
F 5656 2 14 si
F 5659 4 14 tu
F 5664 3 14 a
F 5668 4 14 tion 
- 5672
F 5681 2 14 Are 
F 5684 2 14 we 
F 5687 2 14 a 
F 5690 2 14 na
F 5693 3 14 tion 
F 5698 2 14 of 
F 5701 5 14 states? 
- 5706
F 5708 2 14 What’s 
F 5711 2 14 the 
F 5714 3 14 state 
F 5719 2 14 of 
F 5722 2 14 our 
F 5725 3 14 na
F 5729 5 14 tion? 
- 5734
F 5736 2 14 I’m 
F 5740 4 14 past 
F 5746 2 14 pa
F 5750 2 14 tien
F 5753 2 14 tly 
F 5756 2 14 wai
F 5759 2 14 tin’ 
- 5761
F 5762 2 14 I’m 
F 5766 3 14 pas
F 5770 2 14 sio
F 5773 1 14 nate
F 5775 2 14 ly 
F 5778 4 14 sma
F 5783 2 14 shin’ 
F 5787 2 14 every 
F 5790 2 14 ex
F 5793 2 14 pec
F 5797 2 14 ta
F 5800 4 14 tion 
- 5804
F 5805 2 14 E
F 5808 2 14 very 
F 5811 2 14 ac
F 5814 2 14 tion’s 
F 5818 2 14 an 
F 5822 3 14 act 
F 5826 2 14 of 
F 5829 2 14 cre
F 5832 2 14 a
F 5835 4 14 tion 
- 5839
F 5841 2 14 I’m 
F 5844 3 14 laugh
F 5848 2 14 in’ 
F 5851 2 14 in 
F 5854 2 14 the 
F 5858 2 14 face 
F 5861 2 14 of 
F 5864 2 14 ca
F 5867 2 14 sual
F 5871 3 14 ties 
F 5875 2 14 and 
F 5878 2 14 sor
F 5881 3 14 row 
- 5884
F 5889 1 14 For 
F 5891 1 14 the 
F 5894 2 14 first 
F 5897 4 14 time, 
F 5902 2 14 I’m 
F 5905 2 14 think
F 5908 2 14 in’ 
F 5912 6 14 past 
F 5920 3 14 to
F 5924 4 14 mor
F 5929 6 14 row 
- 5935
* 5937 2 14 And 
* 5940 2 14 I 
* 5943 3 14 am 
* 5949 3 14 not 
* 5954 2 14 throw
* 5957 1 14 in’ 
* 5959 1 14 a
* 5961 3 14 way 
* 5966 6 14 my 
* 5978 4 14 shot 
- 5982
* 5995 1 14 I 
* 5997 1 14 am 
* 6000 4 14 not 
* 6006 1 14 throw
* 6008 1 14 in’ 
* 6010 1 14 a
* 6013 4 14 way 
* 6018 6 14 my 
* 6031 6 14 shot 
- 6037
* 6042 2 14 Hey, 
* 6045 2 14 yo, 
* 6049 2 14 I’m 
* 6052 5 15 just 
* 6058 2 15 like 
* 6061 2 15 my 
* 6065 2 15 coun
* 6068 3 15 try 
- 6071
