#ARTIST:Beyoncé
#TITLE:Texas Hold 'Em
#BPM:110
#YEAR:2024
#PREVIEWSTART:163
#VIDEO:v=jCOX8dT9q8M
#GENRE:Country-pop
#LANGUAGE:English
#GAP:11305,454545454546
#ALLKARAOKE_ID:beyonce-texas-hold-em
#ALLKARAOKE_LASTUPDATE:2024-03-23T18:31:20.777Z
#ALLKARAOKE_ARTISTORIGIN:US
#ALLKARAOKE_REALBPM:110
#ALLKARAOKE_PREVIEWEND:206
#ALLKARAOKE_VOLUME:0,83
#MP3:Beyoncé - Texas Hold 'Em.mp3
#COVER:Beyoncé - Texas Hold 'Em [CO].jpg
#BACKGROUND:Beyoncé - Texas Hold 'Em [BG].jpg
: 295 2 2 we 
: 297 1 -1 sur
: 298 3 -1 vi
: 301 1 -3 vi
: 302 3 -5 n'
- 305
: 309 2 2 Off 
: 311 2 2 red 
: 313 1 2 cu
: 314 1 4 p 
: 315 2 2 kiss
: 317 2 2 es 
: 319 2 2 sweet 
: 321 1 2 re
: 322 2 6 demp
: 325 2 6 tion, 
: 327 2 6 pass
: 329 1 6 in' 
: 330 1 6 ti
: 331 2 9 me 
: 333 1 9 ye
: 334 7 9 a
: 341 2 6 h
- 343
: 347 1 9 O
: 348 3 11 oh
: 351 4 9 ~
: 355 1 4 ~
: 356 1 6 ~
: 357 1 4 ~
: 358 5 2 ~, 
: 363 2 2 one 
: 365 2 2 step 
: 367 2 2 to 
: 369 1 2 the 
: 370 3 5 ri
: 373 2 4 ght
- 375
: 377 2 2 We 
: 379 2 2 head
: 381 2 2 ed 
: 383 2 2 to 
: 385 1 2 the 
: 386 3 6 di
: 389 1 4 ve 
: 390 3 2 bar 
: 393 2 2 we 
: 395 2 2 al
: 397 2 2 ways 
: 399 2 2 thought 
: 401 1 2 was 
: 402 3 6 ni
: 405 2 4 ce
- 407
: 411 1 9 O
: 412 3 11 o
: 415 4 9 h
: 419 1 4 ~
: 420 1 6 ~
: 421 1 4 ~
: 422 5 2 ~, 
: 427 2 2 run 
: 429 2 2 me 
: 431 2 2 to 
: 433 1 2 the 
: 434 2 5 le
: 436 2 4 ft
- 438
: 441 2 2 Then 
: 443 2 2 spin 
: 445 2 2 me 
: 447 2 2 in 
: 449 1 2 the 
: 450 3 6 midd
: 453 2 4 le, 
: 455 2 2 bo
: 457 2 2 y, 
: 459 2 2 I 
: 461 2 2 can't 
: 463 2 2 read 
: 465 1 2 your 
: 466 2 6 mi
: 468 2 4 nd
- 470
: 471 1 -3 This 
: 472 2 2 ain't 
: 474 3 2 Tex
: 477 1 -1 a
: 478 1 -3 s, 
: 487 1 -1 ain't 
: 488 2 2 no 
: 490 3 2 hold
: 493 1 -1 ~ 
: 494 1 -3 'em
- 495
: 501 2 -10 So 
: 503 1 -3 lay 
: 504 3 2 your 
: 507 4 2 cards 
: 511 1 -3 do
: 512 1 -1 w
: 513 2 -3 n, 
: 515 1 -8 d
: 516 3 -6 own, 
: 519 3 -8 down, 
: 522 8 -10 down
- 530
: 534 1 -6 So 
: 535 1 -1 park 
: 536 2 2 your 
: 538 3 2 lex
: 541 2 -1 us, 
: 550 1 -5 and 
: 551 1 -1 throw 
: 552 2 2 your 
: 554 3 2 keys 
: 557 1 -1 u
: 558 5 -3 p
- 563
: 567 1 -3 Stick 
: 568 3 2 a
: 571 4 2 round, 
: 575 1 -3 'ro
: 576 1 -1 u
: 577 2 -3 nd, 
: 579 1 -8 'r
: 580 3 -6 ound, 
: 583 1 -8 'ro
: 584 1 -6 u
: 585 1 -8 nd, 
: 586 8 -10 round
- 594
: 598 1 2 And 
: 599 1 2 I'll 
: 600 2 2 be 
: 602 1 2 d
: 603 1 4 amned 
: 604 1 4 if 
: 605 2 4 I 
: 607 2 4 can't 
: 609 1 4 sl
: 610 1 6 ow 
: 611 2 -1 dance 
: 613 2 -1 with 
: 615 2 14 you
- 617
: 617 2 4 Come 
: 619 2 2 pour 
: 621 2 2 some 
: 623 1 2 su
: 624 1 2 gar 
: 625 1 2 on 
: 626 1 2 me, 
: 627 3 2 honey 
: 630 3 14 too
- 633
: 633 1 2 It's 
: 634 1 2 a 
: 635 2 2 real 
: 637 2 2 life 
: 639 1 -1 boo
: 640 1 -3 gie 
: 641 1 -3 and 
: 642 1 -3 a 
: 643 2 2 real 
: 645 2 2 life 
: 647 1 2 h
: 648 1 -1 oe
: 649 1 -1 d
: 650 1 -3 own
- 651
: 651 2 -1 Don't 
: 653 1 -3 be 
: 654 1 -6 a 
: 655 1 -3 bi
: 656 1 -3 tch, 
: 657 2 -3 come 
: 659 1 -3 take 
: 660 1 -6 it 
: 661 1 -6 to
- 662
: 662 1 2 And 
: 663 1 2 I'll 
: 664 2 2 be 
: 666 1 2 da
: 667 1 4 mned 
: 668 1 4 if 
: 669 2 4 I 
: 671 2 4 can
: 673 1 4 no
: 674 1 6 t 
: 675 2 -1 dance 
: 677 2 -1 with 
: 679 2 14 you
- 681
: 681 2 4 Come 
: 683 2 2 pour 
: 685 2 2 some 
: 687 1 2 liq
: 688 1 2 uor 
: 689 1 2 on 
: 690 1 2 me, 
: 691 3 2 honey 
: 694 3 14 too
- 697
: 697 1 2 It's 
: 698 1 2 a 
: 699 2 2 real 
: 701 2 2 life 
: 703 1 -1 boog
: 704 1 -3 ie 
: 705 1 -3 and 
: 706 1 -3 a 
: 707 2 2 real 
: 709 2 2 life 
: 711 1 2 ho
: 712 1 -1 e
: 713 1 -1 do
: 714 1 -3 wn
- 715
: 715 2 -1 Don't 
: 717 1 -3 be 
: 718 1 -6 a 
: 719 1 -3 bi
: 720 1 -3 tch, 
: 721 2 -3 come 
: 723 1 -3 take 
: 724 1 -6 it 
: 725 1 -6 to 
: 726 1 -6 the 
: 727 1 -8 fl
: 728 1 -6 oor 
: 729 2 -6 now
- 731 848
- 848
: 855 2 2 There's 
: 857 1 2 a 
: 858 3 2 heat
: 861 1 -1 wave
: 862 3 -3 ~ 
: 871 1 2 com
: 872 2 2 ing 
: 874 1 2 a
: 875 2 4 t 
: 877 2 6 us
- 879
: 885 2 6 Too 
: 887 2 4 hot 
: 889 1 2 to 
: 890 2 2 think 
: 893 1 -1 st
: 894 2 -3 raight
- 896
: 901 2 2 Too 
: 903 2 2 cold 
: 905 1 2 to 
: 906 1 2 p
: 907 2 4 an
: 909 2 6 ic
- 911
: 917 1 4 Al
: 918 1 6 l 
: 919 2 2 of 
: 921 1 -1 the 
: 922 3 2 pro
: 925 1 -3 b
: 926 2 -5 lems 
: 933 2 2 just 
: 935 2 2 feel 
: 937 1 -1 dra
: 938 3 -1 ma
: 941 1 -3 t
: 942 3 -5 ic
- 945
: 951 2 2 Now 
: 953 2 2 we're 
: 955 1 2 run
: 956 3 2 nin' 
: 959 2 2 to 
: 961 1 2 the 
: 962 2 6 first 
: 965 2 6 spot 
: 967 1 6 that 
: 968 1 6 we 
: 969 2 6 fi
: 971 2 9 nd, 
: 973 5 9 yeah
: 978 1 6 ~
- 979 980
- 980
: 987 1 9 O
: 988 3 11 oh
: 991 4 9 ~
: 995 1 4 ~
: 996 1 6 ~
: 997 1 4 ~
: 998 5 2 ~, 
: 1003 2 2 one 
: 1005 2 2 step 
: 1007 2 2 to 
: 1009 1 2 the 
: 1010 3 5 ri
: 1013 2 4 ght
- 1015
: 1017 2 2 We 
: 1019 2 2 head
: 1021 2 2 ed 
: 1023 2 2 to 
: 1025 1 2 the 
: 1026 3 6 di
: 1029 1 4 ve 
: 1030 3 2 bar 
: 1033 2 2 we 
: 1035 2 2 al
: 1037 2 2 ways 
: 1039 2 2 thought 
: 1041 1 2 was 
: 1042 3 6 ni
: 1045 2 4 ce
- 1047
: 1051 1 9 O
: 1052 3 11 oh
: 1055 4 9 ~
: 1059 1 4 ~
: 1060 1 6 ~
: 1061 1 4 ~
: 1062 5 2 ~, 
: 1067 2 2 you 
: 1069 2 2 run 
: 1071 2 2 to 
: 1073 1 2 the 
: 1074 2 5 le
: 1076 2 4 ft
- 1078
: 1081 2 2 Just 
: 1083 2 2 with 
: 1085 2 2 me 
: 1087 2 6 in 
: 1089 1 9 the 
: 1090 2 11 mid
: 1092 2 9 dle 
: 1094 3 4 boy
: 1097 2 2 ~ 
: 1099 2 2 I 
: 1101 2 2 can't 
: 1103 2 2 read 
: 1105 1 2 your 
: 1106 2 5 mi
: 1108 2 4 nd
- 1110
: 1111 1 9 This 
: 1112 2 14 ain't 
: 1114 3 14 Tex
: 1117 1 11 as
: 1118 1 9 ~
: 1119 1 6 ~
: 1120 3 2 ~, 
: 1127 1 11 ain't 
: 1128 2 14 no 
: 1130 3 14 hold 
: 1133 1 11 ~ 
: 1134 1 9 'em
- 1135 1136
- 1136
: 1143 1 9 Lay 
: 1144 3 14 your 
: 1147 4 14 cards 
: 1151 1 9 d
: 1152 1 11 ow
: 1153 2 9 n, 
: 1155 1 4 d
: 1156 3 6 own, 
: 1159 3 4 down, 
: 1162 1 2 d
: 1163 2 -1 own
: 1165 3 2 ~
: 1168 1 4 ~
: 1169 1 6 ~
: 1170 1 6 ~
: 1171 1 6 oh
- 1172
: 1174 1 6 so 
: 1175 1 11 park 
: 1176 2 14 your 
: 1178 3 14 lex
: 1181 2 11 us,
: 1191 1 11 throw 
: 1192 2 14 your 
: 1194 3 14 keys 
: 1197 1 11 u
: 1198 1 9 p
: 1199 4 7 ~
- 1203
: 1207 1 9 Stick 
: 1208 3 14 a
: 1211 4 14 round, 
: 1215 1 9 'ro
: 1216 1 11 u
: 1217 2 9 nd, 
: 1219 1 4 'ro
: 1220 3 6 und, 
: 1223 1 4 'ro
: 1224 1 6 u
: 1225 1 4 nd,
: 1226 1 4 'ro
: 1227 1 2 u
: 1228 1 -1 n
: 1229 6 2 d
- 1235
: 1238 1 2 And 
: 1239 1 2 I'll 
: 1240 2 2 be 
: 1242 1 2 da
: 1243 1 4 mned 
: 1244 1 4 if 
: 1245 2 4 I 
: 1247 2 4 can
: 1249 1 4 n
: 1250 1 6 ot 
: 1251 2 -1 dance 
: 1253 2 -1 with 
: 1255 2 14 you
- 1257
: 1257 2 2 Come 
: 1259 2 2 pour 
: 1261 2 2 some 
: 1263 1 2 su
: 1264 1 -3 gar 
: 1265 1 -1 on 
: 1266 1 -3 me, 
: 1267 1 2 ho
: 1268 2 2 ney
: 1270 2 14 too
- 1272
: 1272 1 2 Ooh 
: 1273 1 2 it's 
: 1274 1 2 a 
: 1275 2 2 real 
: 1277 2 2 life 
: 1279 1 2 boo
: 1280 1 -3 gie 
: 1281 1 -1 and 
: 1282 1 -3 a 
: 1283 2 2 real 
: 1285 2 2 life 
: 1287 2 -1 hoe
: 1289 2 -3 down
- 1291
: 1291 2 -1 Don't 
: 1293 1 -3 be 
: 1294 1 -3 a 
: 1295 2 -3 bitch, 
: 1297 2 -3 come 
: 1299 1 -3 take 
: 1300 1 -3 it 
: 1301 1 -3 to
- 1302
: 1302 1 2 And 
: 1303 1 2 I'll 
: 1304 2 2 be 
: 1306 1 2 da
: 1307 1 4 mned 
: 1308 1 4 if 
: 1309 2 4 I 
: 1311 2 4 can
: 1313 1 4 n
: 1314 1 6 ot 
: 1315 2 -1 dance 
: 1317 2 -1 with 
: 1319 2 14 you
- 1321
: 1321 2 2 Come 
: 1323 2 2 pour 
: 1325 2 2 some 
: 1327 1 2 li
: 1328 1 -3 quor 
: 1329 1 -1 on 
: 1330 1 -3 me, 
: 1331 1 2 hon
: 1332 2 2 ey 
: 1334 2 14 too
- 1336
: 1336 1 2 Ooh 
: 1337 1 2 it's 
: 1338 1 2 a 
: 1339 2 2 real 
: 1341 2 2 life 
: 1343 1 2 boo
: 1344 1 -3 gie 
: 1345 1 -1 and 
: 1346 1 -3 a 
: 1347 2 2 real 
: 1349 2 2 life 
: 1351 2 -1 hoe
: 1353 2 -3 down
- 1355
: 1355 2 -1 Don't 
: 1357 1 -3 be 
: 1358 1 -3 a, 
: 1361 2 -3 come 
: 1363 1 -3 take 
: 1364 1 -3 it 
: 1365 1 -3 to 
: 1366 1 -5 the 
: 1367 1 -5 floor 
: 1369 2 -6 now, 
: 1371 1 2 Ooh
: 1372 2 -8 ~
- 1374 1388
- 1388
: 1395 1 -1 Take 
: 1396 1 -3 it 
: 1397 1 -3 to 
: 1398 1 -3 the 
: 1399 2 -1 floor 
: 1401 2 -3 now, 
: 1403 1 2 o
: 1404 2 -8 oh
- 1406 1422
- 1422
: 1429 1 -3 To 
: 1430 1 -3 the 
: 1431 2 -1 floor 
: 1433 2 -3 now, 
: 1435 1 2 o
: 1436 2 -8 oh
- 1438
: 1443 1 2 O
: 1444 2 -3 oh
- 1446
: 1451 1 2 O
: 1452 2 -3 oh
- 1454
: 1459 1 4 O
: 1460 2 -3 oh
- 1462 1482
- 1482
: 1489 2 -10 Come 
: 1491 1 -6 take 
: 1492 1 -8 it 
: 1493 1 -8 to 
: 1494 1 -8 the 
: 1495 2 -6 floor 
: 1497 2 -10 now, 
: 1499 1 -8 o
: 1500 3 -3 oh
- 1503
: 1509 2 -3 And 
: 1511 2 -1 I'll 
: 1513 1 -1 be 
: 1514 2 2 damned 
: 1516 1 2 if 
: 1517 2 2 I 
: 1519 2 2 can
: 1521 1 4 n
: 1522 1 6 ot 
: 1523 2 2 dance
: 1525 4 -1 ~ 
: 1529 1 -3 with 
: 1530 4 -1 you
: 1534 1 2 ~
: 1535 1 -1 ~
: 1536 1 -3 ~
: 1537 3 -6 ~
- 1540
: 1543 2 -3 Ba
: 1545 1 -1 b
: 1546 1 2 y, 
: 1547 2 4 pour 
: 1549 2 2 that 
: 1551 2 -1 su
: 1553 2 -3 gar 
: 1555 1 -5 a
: 1556 1 2 nd 
: 1557 2 4 li
: 1559 2 2 quor 
: 1561 2 -1 on 
: 1563 2 2 me 
: 1565 2 -3 too
: 1567 4 -6 ~
: 1571 7 -10 ~
E
