#ARTIST:Creepy Nuts
#TITLE:Otonoke
#CREATOR:wolf359
#BPM:340
#YEAR:2024
#VIDEO:v=a4na2opArGY
#GENRE:Rap
#LANGUAGE:Japanese
#GAP:-9,529411764705856
#ALLKARAOKE_ID:creepy-nuts-otonoke
#ALLKARAOKE_LASTUPDATE:2024-12-29T00:12:41.123Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_CREATORURL:https://ultrastar-es.org/en/canciones?creador=wolf359
#ALLKARAOKE_REALBPM:340
#ALLKARAOKE_VOLUME:1
#MP3:Creepy Nuts - Otonoke (TV).mp3
#COVER:Creepy Nuts - Otonoke (TV).jpg
#MEDLEYSTARTBEAT:1504
#MEDLEYENDBEAT:2016
: 1621 2 -4 no u
: 1626 3 -7 ra 
: 1632 2 -4 ya 
: 1637 2 -7 mi
: 1642 5 -2 mi 
: 1648 2 -2 no 
: 1652 3 0 na
: 1658 4 0 ka
- 1662
: 1673 6 0 mu
: 1680 4 0 ne 
: 1685 2 0 no 
* 1690 3 3 o
* 1696 3 1 ku 
* 1700 2 0 ni 
: 1704 4 0 i
: 1711 4 -2 tsui
: 1716 4 -4 te
: 1721 2 -4 ru 
: 1726 5 0 me
: 1732 2 -2 ro
: 1738 5 -2 di
: 1744 3 -4 i
- 1747
: 1758 3 0 rizu
: 1765 3 -2 mu 
: 1770 5 -2 ni
: 1776 3 -4 ~
- 1779
: 1793 5 -4 yeah
- 1798
R 1802 3 0 Dan
R 1807 1 0 da
R 1809 1 0 dan, 
R 1813 4 0 dan
R 1819 1 0 da
R 1821 1 0 dan, 
R 1825 3 0 dan
R 1831 1 0 da
R 1833 1 0 dan, 
R 1836 4 0 dan
R 1842 1 0 da
R 1844 2 0 dan, 
R 1849 3 0 dan
R 1854 1 0 da
R 1856 5 0 dan
- 1861
R 1865 3 0 dan
R 1870 1 0 da
R 1873 2 0 dan, 
R 1877 3 0 dan
R 1882 1 0 da
R 1884 1 0 dan, 
R 1889 3 0 dan
R 1894 1 0 da
R 1896 1 0 dan, 
R 1900 4 0 dan
R 1906 1 0 da
R 1908 2 0 dan, 
R 1912 4 0 dan
R 1918 1 0 da
R 1920 3 0 dan
- 1923
R 1928 4 0 dan
R 1934 1 0 da
R 1936 2 0 dan, 
R 1940 3 0 dan
R 1945 1 0 da
R 1947 2 0 dan, 
R 1951 4 0 dan
R 1957 1 0 da
R 1959 2 0 dan, 
R 1963 4 0 dan
R 1969 1 0 da
R 1971 2 0 dan, 
R 1975 4 0 dan
R 1980 1 0 da
R 1983 3 0 dan
- 1986
R 1991 4 0 dan
R 1997 1 0 da
R 1999 1 0 dan, 
R 2003 4 0 dan
R 2009 1 0 da
R 2011 1 0 dan, 
R 2015 3 0 dan
R 2021 1 0 da
R 2023 6 0 dan
E
