#ARTIST:DALI
#TITLE:Moonlight Densetsu
#CREATOR:Rubn4
#BPM:280,04
#YEAR:1992
#VIDEO:v=D4WY94x63JE
#LANGUAGE:Japanese
#GAP:27692,288244536496
#ALLKARAOKE_ID:dali-moonlight-densetsu
#ALLKARAOKE_SID:5195
#ALLKARAOKE_LASTUPDATE:2025-09-17T13:58:57.229Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:140
#ALLKARAOKE_VOLUME:1
#MP3:DALI - Moonlight Densetsu.mp3
#COVER:DALI - Moonlight Densetsu [CO].jpg
#BACKGROUND:DALI - Moonlight Densetsu [BG].jpg
: 891 10 0 ku
: 903 3 3 e
- 906
: 915 2 -4 O
: 919 2 0 na
: 923 2 3 ji 
: 927 5 7 ku
: 935 2 7 ni 
: 939 5 5 ni 
: 947 2 5 u
: 951 2 7 ma
: 955 2 7 re
: 959 2 10 ta
: 963 2 8 ~
: 967 3 8 no
- 970
* 979 2 8 Mi
* 983 2 7 ra
* 987 2 5 ku
* 991 5 7 ru 
: 999 5 5 ro
: 1007 2 3 ma
: 1011 5 2 n
: 1019 7 0 su
- 1026 1153
- 1153
: 1172 2 -4 Mo
: 1176 2 0 i
: 1180 2 3 chi
: 1184 5 7 do 
: 1192 2 7 fu
: 1196 5 5 ta
: 1204 2 5 ri 
: 1208 5 3 de 
: 1216 5 2 week
: 1224 3 5 end
- 1227
: 1236 2 -4 Ka
: 1240 2 0 mi
: 1244 2 2 sa
: 1248 5 5 ma 
: 1256 2 5 ka
: 1260 2 5 na
: 1264 2 3 e
: 1268 2 3 te 
: 1272 5 2 happ
: 1280 5 0 y 
: 1288 3 3 end
- 1291
: 1300 2 -4 Ge
: 1304 2 0 n
: 1308 2 3 za
: 1312 5 7 i 
: 1320 2 7 ka
: 1324 5 5 ko 
: 1332 2 5 mi
: 1336 5 7 ra
* 1344 2 10 i
* 1348 2 8 ~
* 1352 3 8 mo
- 1355
: 1364 2 8 A
: 1368 2 7 na
: 1372 2 5 ta
: 1376 5 7 ni 
: 1384 2 5 ku
: 1388 2 5 bi
: 1392 2 3 ~
: 1396 5 2 tta
: 1404 3 0 ke
- 1407 1413
- 1413
: 1432 5 0 De
: 1440 22 8 a
: 1464 2 10 ~
: 1468 2 10 tta
: 1472 5 12 ~ 
: 1480 5 12 to
: 1488 2 10 ki 
: 1492 10 8 no 
: 1504 10 7 na
: 1516 2 5 tsu
: 1520 2 3 ka
: 1524 5 5 shi
: 1532 2 5 i
: 1536 11 7 ~
- 1547
: 1560 5 0 Ma
: 1568 22 8 na
* 1592 2 10 za
* 1596 2 10 shi
* 1600 3 12 ~
- 1603
: 1612 2 12 Wa
: 1616 3 12 su
: 1622 3 10 re 
: 1628 2 8 nai
: 1632 39 7 ~
- 1671
: 1684 2 -4 I
: 1688 2 0 ku
: 1692 2 3 se
: 1696 5 7 n
: 1704 2 7 ma
: 1708 5 5 n 
: 1716 2 5 no 
: 1720 2 3 ho
: 1724 2 3 shi 
: 1728 5 2 ka
: 1736 3 5 ra
- 1739
: 1748 2 -4 A
: 1752 2 -1 na
: 1756 2 2 ta 
: 1760 5 5 wo 
* 1768 2 7 mi
* 1772 2 5 tsu
* 1776 2 3 ke
: 1780 5 2 ra
: 1788 10 0 re
: 1800 3 3 ru
- 1803
: 1812 2 -4 Gu
: 1816 2 0 u
: 1820 2 3 ze
: 1824 5 7 n 
: 1832 2 7 mo 
: 1836 5 5 chan
: 1844 2 5 su 
: 1848 2 7 ni 
: 1852 2 7 ka
: 1856 2 10 e
: 1860 2 8 ~
: 1864 3 8 ru
- 1867
: 1876 2 8 I
: 1880 2 7 ki
: 1884 2 5 ka
: 1888 5 7 ta 
: 1896 5 5 ga 
: 1904 2 3 su
: 1908 5 2 ki
: 1916 3 0 yo
- 1919 2182
- 2182
: 2201 5 0 Fu
: 2209 22 8 shi
: 2233 2 10 gi 
: 2237 2 10 na
: 2241 5 12 ~ 
: 2249 5 12 ki
: 2257 2 10 se
* 2261 10 8 ki 
: 2273 10 7 ku
: 2285 2 5 ro
: 2289 2 3 su 
: 2293 5 5 shi
: 2301 2 5 te
: 2305 11 7 ~
- 2316
: 2328 5 0 Na
: 2336 22 8 n
: 2360 2 10 do 
: 2364 2 10 mo
: 2368 3 12 ~
- 2371
: 2380 2 12 Me
: 2384 3 12 gu
: 2390 3 10 ri 
: 2396 2 8 a
: 2400 39 7 u
- 2439
* 2452 2 -4 Se
* 2456 2 0 i
* 2460 2 3 za 
: 2464 5 7 no 
: 2472 2 7 ma
: 2476 5 5 ta
: 2484 2 5 ta
: 2488 2 3 ki 
: 2492 2 3 ka
: 2496 5 2 zo
: 2504 3 5 e
- 2507
: 2516 2 -4 U
: 2520 2 -1 ra
: 2524 2 2 na
: 2528 5 5 u 
: 2536 2 7 ko
: 2540 2 5 i 
: 2544 2 3 no 
: 2548 5 2 yu
: 2556 10 0 ku
: 2568 3 3 e
- 2571
: 2580 2 -4 O
: 2584 2 0 na
: 2588 2 3 ji 
: 2592 5 7 ku
: 2600 2 7 ni 
: 2604 5 5 ni 
: 2612 2 5 u
: 2616 2 7 ma
: 2620 2 7 re
: 2624 2 10 ta
: 2628 2 8 ~
: 2632 3 8 no
- 2635
: 2644 2 8 Mi
: 2648 2 7 ra
: 2652 2 5 ku
: 2656 5 7 ru 
: 2664 5 5 ro
: 2672 2 3 ma
: 2676 5 2 n
: 2684 7 0 su
- 2691 2693
- 2693
: 2712 2 7 Shi
: 2716 2 5 n
: 2720 5 7 ji
: 2728 5 5 te 
: 2736 2 3 i
: 2740 5 2 ru
: 2748 7 0 no
- 2755
: 2772 2 8 Mi
: 2776 2 7 ra
: 2780 2 5 ku
: 2784 5 7 ru 
* 2792 5 5 ro
* 2800 2 3 ma
* 2804 5 2 n
* 2812 3 0 su
E
