#ARTIST:Ado
#TITLE:Fleeting Lullaby
#CREATOR:HansiMcKlaus
#BPM:356
#YEAR:2022
#VIDEO:v=hyV1AJiFNyo
#LANGUAGE:Japanese
#GAP:523,7640449438202
#ALLKARAOKE_ID:ado-fleeting-lullaby
#ALLKARAOKE_SID:99
#ALLKARAOKE_LASTUPDATE:2024-11-05T00:11:03.204Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_CREATORURL:http://usdb.animux.de/index.php?link=profil&id=174903
#ALLKARAOKE_REALBPM:89
#ALLKARAOKE_SOURCEURL:https://usdb.animux.de/index.php?link=detail&id=28357
#ALLKARAOKE_VOLUME:1
#ALLKARAOKE_OLDVOLUME:0,75
#MP3:Ado - Fleeting Lullaby.mp3
#COVER:Ado - Fleeting Lullaby [CO].jpg
#BACKGROUND:Ado - Fleeting Lullaby [BG].jpg
#END:172500
F 1974 1 12 hee, 
F 1976 7 12 that's 
F 1984 4 12 all
- 1988
F 1992 4 12 Ko
F 1996 2 12 ko
F 1998 1 12 ro 
F 2000 4 12 ubawa
F 2004 2 12 re
F 2006 1 12 te 
F 2008 4 12 utto
F 2012 1 12 ri 
F 2014 1 12 to
- 2015
F 2016 4 12 Dou
F 2020 1 12 ri 
F 2022 1 12 mo 
F 2024 4 12 naku
F 2028 1 12 natte 
F 2030 2 12 shi
F 2032 3 12 mau 
F 2036 2 12 ho
F 2038 1 12 do 
F 2040 6 12 katsu
F 2048 6 12 bou 
F 2056 4 12 sa
F 2060 4 12 se
F 2064 4 12 chau
- 2068
F 2072 1 12 Ichi 
F 2074 2 12 nu
F 2076 1 12 ke 
F 2078 1 12 mo 
F 2080 1 12 ni 
F 2082 2 12 nu
F 2084 1 12 ke 
F 2086 1 12 mo 
F 2088 4 12 sa
F 2092 4 12 se
F 2096 4 12 nai, 
F 2104 4 12 sa
F 2108 4 12 se
F 2112 4 12 nai!
- 2116
F 2126 5 12 I 
F 2132 1 12 got 
F 2134 1 12 a 
F 2136 5 12 mic, 
F 2142 5 12 so you 
F 2148 3 12 crazy 
F 2152 3 12 for 
F 2156 3 12 me 
F 2160 4 12 for
F 2164 4 12 e
F 2168 8 12 ver
- 2176
: 2188 4 15 Ma
: 2192 4 27 yo
: 2196 8 22 wa
: 2204 8 20 nai
: 2212 5 18 de
- 2217
: 2221 4 15 Te
: 2225 4 27 ma
: 2229 6 22 ne
: 2238 7 20 ku 
: 2246 8 18 me
: 2254 3 15 ro
: 2257 4 13 dii 
: 2262 6 15 to
- 2268
: 2272 6 15 Bii
: 2278 1 13 to 
: 2280 5 15 ni 
: 2286 1 22 mi 
: 2288 5 22 wo 
: 2294 2 22 ma
: 2296 8 23 kase
: 2304 8 22 te
- 2312
: 2320 6 15 Su
: 2326 2 13 be
: 2328 5 15 te 
: 2334 1 13 ga 
: 2336 6 15 ata
: 2342 2 17 ra
: 2344 8 18 shi
: 2352 7 18 i 
: 2360 6 17 ko
: 2366 8 15 no 
: 2376 8 22 sutee
: 2384 7 22 ji 
: 2392 4 20 jo
: 2396 8 18 u
- 2404
: 2408 5 26 Issho 
: 2414 6 22 ni 
: 2422 8 20 odo
: 2430 7 18 rou 
* 2438 42 15 yo
- 2480
F 2492 3 21 (Ha, 
F 2496 4 27 ha!)
- 2500
F 2504 4 15 I wa
F 2508 3 27 nna 
F 2512 3 22 make 
F 2516 3 20 your 
F 2520 4 20 day, 
F 2525 3 18 do 
F 2529 3 18 my 
F 2533 3 20 thing 
F 2537 5 22 dou
F 2542 5 22 dou 
F 2549 8 22 to 
F 2559 5 22 (Hey)
- 2564
F 2568 4 15 Nee 
F 2573 3 27 o
F 2576 5 22 shi
F 2581 3 20 e
F 2584 4 20 te 
F 2589 3 18 na
F 2592 4 18 ni 
F 2597 2 20 ga 
F 2600 5 22 ike
F 2605 7 22 nai 
F 2613 7 22 no?
- 2620
: 2624 5 22 Ko
: 2629 3 22 no 
: 2633 11 20 ba 
: 2645 3 18 wa 
: 2649 12 20 yuu
: 2661 4 18 to
: 2665 12 20 pi
: 2677 3 18 a 
: 2681 8 17 da
- 2689
: 2693 3 20 Tte 
: 2697 8 22 no
: 2707 4 22 zo
: 2711 1 27 mi 
: 2713 5 26 doo
: 2718 5 22 ri 
: 2724 4 21 de
: 2728 7 22 sho?
- 2735
: 2752 5 15 To
: 2757 3 15 ppa
: 2760 5 15 tsu
: 2765 3 27 te
: 2768 4 27 ki 
: 2773 2 27 na 
: 2776 5 27 uta
: 2781 3 27 ka
: 2784 4 27 ta 
: 2789 8 27 nan
: 2798 1 27 te 
: 2800 5 27 iwa
: 2805 3 27 se
* 2808 20 27 nai
- 2828 2856
- 2856
: 2880 5 15 Ji
: 2885 3 15 hi
: 2888 5 15 bu
: 2893 2 27 kai 
: 2896 4 27 ga 
: 2901 1 27 yue 
: 2903 6 27 ara
: 2909 3 27 ta
: 2912 4 27 ka 
: 2917 7 27 mou 
: 2925 3 31 to
: 2928 5 27 ma
: 2933 3 27 re
* 2936 8 27 nai
- 2944
: 2948 5 22 Na
: 2953 7 20 i
: 2960 5 20 mo
: 2965 3 20 no
: 2968 5 18 ne
: 2973 3 18 da
: 2976 4 18 ri 
: 2981 3 20 ja
: 2984 7 22 nai 
: 2992 5 20 ko
: 2997 3 20 no 
: 3001 6 18 ne
: 3007 6 17 ga
* 3013 14 15 i
- 3027
: 3038 2 15 Ko
: 3040 3 22 no 
: 3044 4 22 ji
: 3048 4 20 da
: 3052 8 18 i 
: 3062 6 15 wa 
: 3070 2 15 hi
: 3072 5 22 mei 
: 3078 1 22 wo 
: 3080 6 20 ka
: 3086 4 18 na
: 3093 7 15 de
- 3100
: 3104 5 15 Sukui 
: 3110 2 15 wo 
: 3113 5 14 mo
: 3118 3 14 to
: 3121 5 15 me
: 3126 2 15 te 
: 3129 5 17 i
: 3134 2 17 ta 
: 3137 5 18 no
- 3142
: 3166 2 15 Da
: 3168 5 22 re
: 3173 1 22 mo 
: 3175 6 20 ki
: 3181 8 18 zu
: 3189 8 15 i
: 3197 2 15 te 
: 3200 5 22 a
: 3205 3 22 ge
: 3208 6 20 ra
: 3214 4 18 re
: 3220 10 15 na
: 3232 8 22 ka
: 3240 11 26 tta 
: 3252 12 21 ka
: 3264 4 22 ra
- 3268
: 3272 6 22 Wa
: 3278 6 20 ta
: 3284 7 18 shi 
: 3292 8 15 ga 
: 3304 6 22 ya
: 3310 6 20 ra
: 3316 8 18 na
: 3324 8 15 kya
- 3332
: 3336 6 22 Da
: 3342 6 20 ka
: 3348 8 18 ra 
: 3360 4 15 ja
: 3364 3 18 ma 
: 3368 4 20 shi
: 3372 4 22 na
: 3376 4 20 i
: 3380 3 18 de 
: 3384 4 20 o
: 3388 4 22 ne
: 3392 8 22 gai
- 3400
: 3414 5 27 Mou 
: 3420 8 22 mo
: 3429 8 20 do
: 3437 4 22 re
: 3441 4 20 na
: 3445 3 18 i 
: 3449 3 18 no
- 3452
: 3456 3 15 Da
: 3459 2 18 ka
: 3461 2 20 ra 
: 3464 3 20 to
: 3467 2 20 wa 
: 3470 1 20 ni 
: 3472 4 20 issho 
: 3477 2 20 ni 
: 3480 6 20 uta
: 3486 7 23 ou 
* 3494 6 25 yo
* 3500 4 23 ~
* 3504 12 22 ~
- 3516
: 3527 4 15 Ji
: 3531 1 15 ka 
: 3533 2 15 ni 
: 3536 3 15 nou 
: 3540 1 15 wo 
: 3542 2 15 yu
: 3544 7 27 rasu 
: 3552 4 26 beesu
- 3556
: 3560 3 25 Ko
: 3563 3 25 ma
: 3566 2 25 ku 
: 3569 2 25 bu
: 3571 2 25 chi
: 3574 3 25 ya
: 3577 6 24 buru 
: 3584 4 23 doramu
- 3588
: 3592 3 22 Shi
: 3595 3 22 n
: 3598 1 22 no
: 3600 5 22 zou 
: 3606 3 22 na
: 3609 6 22 deru 
: 3616 4 22 burasu
- 3620
: 3624 2 22 Pi
: 3626 3 22 a
: 3629 2 22 no 
: 3632 3 22 ma
: 3635 2 22 ka
: 3637 3 23 fue
: 3640 1 22 ri
- 3641
: 3644 4 22 Sa
: 3648 5 21 mi
: 3653 3 22 da
: 3656 15 15 re 
: 3672 8 27 na 
: 3684 4 15 fu
: 3688 4 27 wa
: 3696 4 15 ri 
: 3701 6 27 de 
: 3708 3 15 shout 
: 3712 4 27 out!
- 3716
: 3720 15 15 Doo 
: 3736 6 27 wop 
: 3752 6 27 wop 
: 3760 4 15 waah
: 3764 8 27 ~!
- 3772
: 3776 4 14 A
: 3780 4 18 za
: 3784 4 22 mu
: 3788 3 22 ki 
: 3792 3 22 ya 
: 3796 8 22 sen
: 3804 10 22 nou 
: 3816 4 22 oyo
: 3820 3 22 bi 
: 3824 4 21 ja
: 3828 4 22 na
: 3832 4 15 i
- 3836
: 3840 4 15 Ta
: 3844 3 15 da 
: 3848 8 27 shin
: 3856 5 22 ji
: 3861 2 22 te 
: 3864 5 21 ne
: 3869 10 21 gai 
: 3880 2 21 u
: 3882 5 21 tau 
: 3888 6 21 wa
: 3894 2 22 ta
: 3896 6 15 shi 
: 3904 8 15 ka
: 3912 4 27 ra
- 3916
: 3920 3 15 Mi
: 3923 2 15 mi 
: 3926 3 15 wo 
: 3930 4 15 ha
: 3934 6 18 na
: 3940 6 22 sa
: 3946 12 21 nai
: 3958 8 22 de
- 3966
: 3976 7 18 Sore 
: 3984 4 15 da
: 3988 7 18 ke 
: 3996 3 18 de 
: 4000 4 22 i
: 4004 8 21 i 
* 4016 3 18 hear 
* 4020 7 15 my 
* 4028 9 14 true 
* 4038 10 15 voice
E
