#ARTIST:Tatsuya Kitani
#TITLE:Rapport
#CREATOR:DeinAlptraum, HansiMcKlaus
#BPM:248
#YEAR:2021
#VIDEO:v=k4eSya1zIl8
#LANGUAGE:Japanese
#GAP:31421,774193548386
#ALLKARAOKE_ID:tatsuya-kitani-rapport
#ALLKARAOKE_LASTUPDATE:2024-02-20T21:16:31.238Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:124
#ALLKARAOKE_VOLUME:0,98
#MP3:Tatsuya Kitani - Rapport.mp3
#COVER:Tatsuya Kitani - Rapport [CO].jpg
#BACKGROUND:Tatsuya Kitani - Rapport [BG].jpg
#END:217500
: 561 3 15 mi
: 565 7 13 tan
: 573 4 15 da 
- 577
: 581 3 8 A
: 585 3 8 na
: 589 3 11 ta 
: 593 3 18 to 
: 597 5 13 bo
: 603 2 11 ku 
: 606 3 15 no 
: 613 3 11 a
: 617 3 11 i
: 621 3 11 da 
: 625 3 11 ni 
* 629 7 23 a
* 637 7 22 tta 
* 645 7 15 on
: 653 3 13 do 
: 657 3 16 wo
: 661 12 15 ~ 
- 673
: 681 3 6 Bo
: 685 3 8 ku 
: 689 3 11 no 
: 693 3 18 yo
: 697 5 13 wa
: 703 1 11 sa 
: 705 4 11 wo 
: 713 3 8 su
: 717 3 10 ko
: 721 3 11 shi 
: 725 3 20 a
: 729 5 19 zu
: 735 1 15 ke
: 737 5 15 te
: 743 1 13 i
: 745 5 13 ra
: 751 1 11 re
: 753 8 15 ta 
- 761 772
- 772
: 789 3 8 A
: 793 3 20 na
: 797 1 20 ta 
: 799 5 20 no 
: 805 3 18 ko
: 809 3 20 to
: 813 3 18 ba 
: 817 3 15 ga 
: 821 7 13 boku 
: 829 4 15 no 
: 837 3 8 ku
: 841 3 8 sa
: 845 3 11 ri 
: 849 3 18 wo 
: 853 5 13 to
: 859 1 11 i
: 861 4 15 te 
- 865
: 869 3 11 So
: 873 3 11 ra 
: 877 3 11 ga 
: 881 3 11 shi
* 885 7 23 ran
* 893 7 22 de 
* 901 7 15 iku 
: 909 3 13 you 
: 913 3 16 na
: 917 8 15 ~ 
- 925
: 937 3 8 Ko
: 941 3 11 no 
: 945 3 15 te 
: 949 7 13 no 
: 957 3 11 na
: 961 3 15 ka 
: 965 7 13 no 
: 973 3 11 hika
: 977 3 15 ri 
: 981 4 13 ga 
- 985
: 989 3 6 Ko
: 993 3 8 ko
: 997 3 20 ro 
: 1001 3 18 da 
: 1005 3 15 to 
: 1009 7 13 shi
: 1017 7 15 ttan
: 1025 15 8 da
: 1041 8 15 ~ 
- 1049 1248
- 1248
: 1265 1 8 Da
: 1267 3 11 re
: 1271 5 15 ka 
: 1277 3 13 wo 
: 1281 3 15 ki
: 1285 3 18 zu
: 1289 3 15 tsu
: 1293 3 13 ke
: 1297 3 11 te 
: 1301 3 10 shi
: 1305 5 10 mau 
: 1311 1 11 a
: 1313 5 10 ku
: 1319 1 6 mu 
: 1321 4 3 de 
- 1325
: 1329 3 3 A
: 1333 3 6 sa
: 1337 5 8 i 
: 1343 1 6 ko
: 1345 5 8 kyu
: 1351 1 6 u 
: 1353 3 8 wo 
: 1357 3 6 ku
: 1361 3 8 ri
: 1365 3 11 ka
: 1369 3 10 e
: 1373 3 6 shi
: 1377 3 3 te 
- 1380
: 1383 1 3 So
: 1385 3 8 no 
: 1389 3 6 ya
: 1393 3 3 ji
: 1397 3 1 ru
: 1401 5 1 shi 
: 1407 1 -1 no 
: 1409 5 1 mu
: 1415 1 -1 ki 
: 1417 6 3 wo 
- 1423
: 1429 3 3 Ko
: 1433 3 6 no 
: 1437 1 6 mu
: 1439 5 6 ne 
: 1445 3 6 no 
: 1449 3 6 o
: 1453 3 3 ku 
: 1457 3 6 ni 
: 1461 3 3 a
: 1465 5 6 tsu
: 1471 3 8 me
: 1475 12 3 te 
- 1487 1504
- 1504
: 1521 3 8 A
: 1525 3 11 n
: 1529 7 15 nei 
: 1537 5 15 no 
: 1543 1 13 ko
: 1545 6 15 doku 
: 1553 3 15 no 
: 1557 3 15 na
: 1561 3 13 ka 
: 1565 1 11 de
: 1567 4 13 ~ 
- 1571
: 1577 3 15 Shi
: 1581 3 13 zu
: 1585 5 11 ka 
: 1591 9 18 na 
: 1601 3 18 o
: 1605 3 18 wa
: 1609 3 18 ri 
: 1613 3 15 wo 
: 1617 5 15 ne
: 1623 5 13 ga
: 1629 4 15 tte 
- 1633
: 1641 3 8 Su
: 1645 3 11 ko
: 1649 5 8 shi 
: 1655 5 15 zu
: 1661 3 13 tsu 
: 1665 3 13 hi
: 1669 3 11 e
: 1673 5 13 te 
: 1679 5 15 iku 
: 1685 7 10 na
: 1693 3 11 ni
: 1697 3 10 ka 
: 1701 6 6 ga 
: 1709 3 3 sa
: 1713 3 6 bi
: 1717 3 11 shi
: 1721 7 10 ka
: 1729 12 8 tta 
- 1741
: 1747 5 8 So
: 1753 3 20 re 
: 1757 1 20 de
: 1759 5 20 mo 
: 1765 3 18 ka
: 1769 3 20 ma
: 1773 3 18 wa
: 1777 3 15 na
: 1781 7 13 ka
: 1789 4 15 tta 
- 1793
: 1797 3 8 Da
: 1801 3 8 re
: 1805 3 11 ka 
: 1809 3 18 wo 
: 1813 5 13 ai
: 1819 2 11 shi
: 1822 3 15 te 
- 1825
: 1829 3 11 A
: 1833 3 11 i
: 1837 3 11 sa
: 1841 3 11 re
* 1845 7 23 tai 
* 1853 7 22 to 
* 1861 7 15 nozomu 
: 1869 3 13 ko
: 1873 3 16 to
: 1877 10 15 ~ 
- 1887
: 1897 3 6 O
: 1901 3 8 na
: 1905 3 11 ji 
: 1909 3 18 ka
: 1913 5 13 zu 
: 1919 1 11 da
: 1921 4 11 ke 
: 1929 3 8 i
: 1933 3 10 ta
: 1937 3 11 mi 
: 1941 3 20 ga 
: 1945 5 19 a
: 1951 1 15 ru 
: 1953 5 15 to 
: 1959 7 13 iu 
: 1967 1 11 ko
: 1969 12 15 to 
- 1981 1988
- 1988
: 2005 3 8 So
: 2009 3 20 u 
: 2013 7 20 shite 
: 2021 3 18 to
: 2025 3 20 za
: 2029 3 18 shi
: 2033 3 15 ta 
: 2037 7 13 boku 
: 2045 4 15 no 
: 2053 3 8 mu
: 2057 3 8 ne 
: 2061 3 11 no 
: 2065 3 18 o
: 2069 5 13 ku 
: 2075 1 11 ma
: 2077 4 15 de 
- 2081
: 2085 3 11 A
: 2089 3 11 na
: 2093 3 11 ta 
: 2097 3 11 de 
* 2101 7 23 mi
* 2109 7 22 chite 
* 2117 7 15 shima
: 2125 7 13 ttan
: 2133 3 16 da
: 2137 8 15 ~ 
- 2145
: 2153 3 6 Ka
: 2157 3 8 be 
: 2161 3 11 ga 
: 2165 3 18 ku
: 2169 5 13 zu
: 2175 1 11 re
: 2177 4 11 te 
: 2185 3 8 ha
: 2189 3 10 shi 
: 2193 3 11 ga 
: 2197 3 20 ka
: 2201 7 19 ka
: 2209 6 15 tte, 
: 2217 7 22 boku 
: 2225 16 18 wa 
- 2241 2244
- 2244
: 2261 3 8 A
: 2265 3 20 na
: 2269 1 20 ta 
: 2271 5 20 ga 
: 2277 3 18 ku
: 2281 3 20 re
: 2285 3 18 ta 
: 2289 3 15 ko
: 2293 7 13 kyuu 
: 2301 4 15 de 
- 2305
: 2309 3 8 Ya
: 2313 3 8 sa
: 2317 3 11 shi
: 2321 3 18 i 
: 2325 5 13 yai
: 2331 1 11 ba 
: 2333 6 15 de 
- 2339
: 2343 1 11 Mi
: 2345 3 11 e
: 2349 3 11 ta 
: 2353 3 11 ka
* 2357 7 23 tachi 
* 2365 7 22 no 
* 2373 7 15 nai 
: 2381 3 13 mo
: 2385 3 16 no 
: 2389 12 15 wo 
- 2401
: 2409 3 8 Ko
: 2413 3 11 no 
: 2417 3 15 te 
: 2421 7 13 no 
: 2429 3 11 na
: 2433 3 15 ka 
: 2437 7 13 no 
: 2445 3 11 hika
: 2449 3 15 ri 
: 2453 4 13 wo 
- 2457
: 2461 1 8 Ma
: 2463 7 18 mo
: 2471 1 18 ri
: 2473 7 18 tai 
: 2481 1 15 to 
: 2483 1 15 ne
* 2485 7 20 ga
* 2493 24 18 tta 
E
